reader_id,writer_id,key,start_time,end_time,delta_time
123,0,1,1619406860.1304264,1619406860.130877,0.0004506111145019531
123,0,1,1619406860.1308868,1619406860.131303,0.0004162788391113281
123,0,1,1619406860.1313176,1619406860.1317084,0.00039076805114746094
123,0,1,1619406860.1317196,1619406860.1321058,0.00038623809814453125
123,0,1,1619406860.132117,1619406860.132516,0.00039887428283691406
123,0,1,1619406860.1325262,1619406860.1328807,0.00035452842712402344
123,0,1,1619406860.1328902,1619406860.1332722,0.0003819465637207031
123,0,1,1619406860.133281,1619406860.1336513,0.00037026405334472656
123,0,1,1619406860.1336603,1619406860.1340692,0.0004088878631591797
123,0,1,1619406860.1340785,1619406860.134423,0.0003445148468017578
123,0,1,1619406860.1344323,1619406860.1347673,0.0003349781036376953
123,0,1,1619406860.134776,1619406860.13517,0.00039386749267578125
123,0,1,1619406860.13518,1619406860.1355321,0.0003521442413330078
123,0,1,1619406860.1355407,1619406860.1358805,0.00033974647521972656
123,0,1,1619406860.1358888,1619406860.1362507,0.0003619194030761719
123,0,1,1619406860.13626,1619406860.1366026,0.0003426074981689453
123,0,1,1619406860.1366131,1619406860.136972,0.00035881996154785156
123,0,1,1619406860.1369808,1619406860.1373055,0.0003247261047363281
123,0,1,1619406860.1373143,1619406860.1376352,0.0003209114074707031
123,0,1,1619406860.1376438,1619406860.137967,0.00032329559326171875
123,0,1,1619406860.1379957,1619406860.1383255,0.00032973289489746094
123,0,1,1619406860.1383343,1619406860.138685,0.00035071372985839844
123,0,1,1619406860.1386933,1619406860.139031,0.0003376007080078125
123,0,1,1619406860.1390398,1619406860.1393905,0.00035071372985839844
123,0,1,1619406860.139399,1619406860.1397297,0.0003306865692138672
123,0,1,1619406860.1397383,1619406860.1400886,0.0003502368927001953
123,0,1,1619406860.1400979,1619406860.1404622,0.0003643035888671875
123,0,1,1619406860.1404715,1619406860.1408105,0.0003390312194824219
123,0,1,1619406860.1408193,1619406860.1411602,0.0003409385681152344
123,0,1,1619406860.1411693,1619406860.1415124,0.00034308433532714844
123,0,1,1619406860.1415212,1619406860.1418486,0.0003273487091064453
123,0,1,1619406860.141857,1619406860.1422172,0.00036025047302246094
123,0,1,1619406860.142227,1619406860.1425738,0.00034689903259277344
123,0,1,1619406860.142583,1619406860.1429431,0.00036025047302246094
123,0,1,1619406860.142952,1619406860.1433485,0.00039649009704589844
123,0,1,1619406860.143363,1619406860.1437252,0.00036215782165527344
123,0,1,1619406860.1437361,1619406860.1441169,0.0003807544708251953
123,0,1,1619406860.1441274,1619406860.144463,0.000335693359375
123,0,1,1619406860.1444726,1619406860.1448293,0.0003566741943359375
123,0,1,1619406860.144838,1619406860.145206,0.00036787986755371094
123,0,1,1619406860.1452155,1619406860.1455815,0.00036597251892089844
123,0,1,1619406860.1455908,1619406860.145929,0.0003383159637451172
123,0,1,1619406860.14594,1619406860.146302,0.0003619194030761719
123,0,1,1619406860.1463115,1619406860.1467195,0.00040793418884277344
123,0,1,1619406860.1467295,1619406860.1471195,0.00039005279541015625
123,0,1,1619406860.1471298,1619406860.1475148,0.00038504600524902344
123,0,1,1619406860.1475239,1619406860.1478958,0.0003719329833984375
123,0,1,1619406860.1479044,1619406860.1482644,0.0003600120544433594
123,0,1,1619406860.1482732,1619406860.1486387,0.0003654956817626953
123,0,1,1619406860.1486473,1619406860.1490362,0.00038886070251464844
123,0,1,1619406860.149045,1619406860.1494277,0.0003826618194580078
123,0,1,1619406860.1494365,1619406860.1497989,0.000362396240234375
123,0,1,1619406860.1498075,1619406860.1502223,0.00041484832763671875
123,0,1,1619406860.1502323,1619406860.1506135,0.00038123130798339844
123,0,1,1619406860.1506226,1619406860.1509604,0.00033783912658691406
123,0,1,1619406860.150969,1619406860.1514082,0.0004391670227050781
123,0,1,1619406860.1514223,1619406860.1518004,0.0003781318664550781
123,0,1,1619406860.1518111,1619406860.1522083,0.0003972053527832031
123,0,1,1619406860.15222,1619406860.1525986,0.00037860870361328125
123,0,1,1619406860.1526082,1619406860.153049,0.00044083595275878906
123,0,1,1619406860.1530592,1619406860.153441,0.00038170814514160156
123,0,1,1619406860.15345,1619406860.153813,0.0003628730773925781
123,0,1,1619406860.153822,1619406860.15421,0.00038814544677734375
123,0,1,1619406860.1542196,1619406860.1546106,0.0003910064697265625
123,0,1,1619406860.1546202,1619406860.1550145,0.0003943443298339844
123,0,1,1619406860.1550238,1619406860.155401,0.0003771781921386719
123,0,1,1619406860.1554096,1619406860.155813,0.00040340423583984375
123,0,1,1619406860.155826,1619406860.1562266,0.000400543212890625
123,0,1,1619406860.1562386,1619406860.1566374,0.00039887428283691406
123,0,1,1619406860.1566486,1619406860.1570332,0.0003845691680908203
123,0,1,1619406860.157044,1619406860.1573822,0.0003383159637451172
123,0,1,1619406860.1573915,1619406860.1577973,0.0004057884216308594
123,0,1,1619406860.1578133,1619406860.158208,0.00039458274841308594
123,0,1,1619406860.15822,1619406860.1585855,0.0003654956817626953
