Metric,Value
writeLatencyMin,10.241999999999999
writeLatencyMax,75.657
writeLatencyAverage,21.78483574074076
writeLatencyStandardDeviation,14.369866652409092
readLatencyMin,11.006
readLatencyMax,50.003
readLatencyAverage,17.931922222222227
readLatencyStandardDeviation,7.823756208812893
writeThroughputMin,1.0
writeThroughputMax,1.0
writeThroughputAverage,1.0
writeThroughputStandardDeviation,0.0
readThroughputMin,1.0
readThroughputMax,1.0
readThroughputAverage,1.0
readThroughputStandardDeviation,0.0
