Metric,Value
writeLatencyMin,10.241999999999999
writeLatencyMax,75.657
writeLatencyAverage,21.79126207547172
writeLatencyStandardDeviation,14.374083873291243
readLatencyMin,11.006
readLatencyMax,50.003
readLatencyAverage,18.058422950819676
readLatencyStandardDeviation,7.842121489152075
writeThroughputMin,1.0
writeThroughputMax,1.0
writeThroughputAverage,1.0
writeThroughputStandardDeviation,0.0
readThroughputMin,1.0
readThroughputMax,1.0
readThroughputAverage,1.0
readThroughputStandardDeviation,0.0
