Metric,Value
writeLatencyMin,10.811
writeLatencyMax,73.77799999999999
writeLatencyAverage,21.574926000000026
writeLatencyStandardDeviation,13.987832236001541
readLatencyMin,13.508
readLatencyMax,45.925
readLatencyAverage,19.712100000000003
readLatencyStandardDeviation,8.74507700309151
writeThroughputMin,1.0
writeThroughputMax,1.0
writeThroughputAverage,1.0
writeThroughputStandardDeviation,0.0
readThroughputMin,1.0
readThroughputMax,1.0
readThroughputAverage,1.0
readThroughputStandardDeviation,0.0
