Metric,Value
writeLatencyMin,10.241999999999999
writeLatencyMax,75.657
writeLatencyAverage,21.51257935483871
writeLatencyStandardDeviation,14.311783510854022
readLatencyMin,10.929
readLatencyMax,50.003
readLatencyAverage,17.709527956989252
readLatencyStandardDeviation,7.75509322938997
writeThroughputMin,1.0
writeThroughputMax,1.0
writeThroughputAverage,1.0
writeThroughputStandardDeviation,0.0
readThroughputMin,1.0
readThroughputMax,1.0
readThroughputAverage,1.0
readThroughputStandardDeviation,0.0
