Metric,Value
writeLatencyMin,10.241999999999999
writeLatencyMax,74.809
writeLatencyAverage,21.743010222222274
writeLatencyStandardDeviation,14.277118390639613
readLatencyMin,13.238
readLatencyMax,45.925
readLatencyAverage,19.13574444444444
readLatencyStandardDeviation,7.9414816971269575
writeThroughputMin,1.0
writeThroughputMax,1.0
writeThroughputAverage,1.0
writeThroughputStandardDeviation,0.0
readThroughputMin,1.0
readThroughputMax,1.0
readThroughputAverage,1.0
readThroughputStandardDeviation,0.0
