Metric,Value
writeLatencyMin,10.241999999999999
writeLatencyMax,75.657
writeLatencyAverage,21.629892500000036
writeLatencyStandardDeviation,14.314899346980384
readLatencyMin,10.944
readLatencyMax,50.003
readLatencyAverage,17.743572058823517
readLatencyStandardDeviation,7.801431139679472
writeThroughputMin,1.0
writeThroughputMax,1.0
writeThroughputAverage,1.0
writeThroughputStandardDeviation,0.0
readThroughputMin,1.0
readThroughputMax,1.0
readThroughputAverage,1.0
readThroughputStandardDeviation,0.0
