Metric,Value
writeLatencyMin,10.241999999999999
writeLatencyMax,75.657
writeLatencyAverage,21.799751538461578
writeLatencyStandardDeviation,14.385154928626054
readLatencyMin,11.006
readLatencyMax,46.921
readLatencyAverage,18.10445365853657
readLatencyStandardDeviation,7.854428001967828
writeThroughputMin,1.0
writeThroughputMax,1.0
writeThroughputAverage,1.0
writeThroughputStandardDeviation,0.0
readThroughputMin,1.0
readThroughputMax,1.0
readThroughputAverage,1.0
readThroughputStandardDeviation,0.0
