Metric,Value
writeLatencyMin,10.241999999999999
writeLatencyMax,75.657
writeLatencyAverage,21.771895272727292
writeLatencyStandardDeviation,14.357692158292886
readLatencyMin,11.006
readLatencyMax,50.003
readLatencyAverage,17.911257425742566
readLatencyStandardDeviation,7.821454296481556
writeThroughputMin,1.0
writeThroughputMax,1.0
writeThroughputAverage,1.0
writeThroughputStandardDeviation,0.0
readThroughputMin,1.0
readThroughputMax,1.0
readThroughputAverage,1.0
readThroughputStandardDeviation,0.0
