Metric,Value
writeLatencyMin,10.241999999999999
writeLatencyMax,75.657
writeLatencyAverage,21.770254678899104
writeLatencyStandardDeviation,14.356606830948657
readLatencyMin,11.006
readLatencyMax,50.003
readLatencyAverage,17.926236263736268
readLatencyStandardDeviation,7.82557380617088
writeThroughputMin,1.0
writeThroughputMax,1.0
writeThroughputAverage,1.0
writeThroughputStandardDeviation,0.0
readThroughputMin,1.0
readThroughputMax,1.0
readThroughputAverage,1.0
readThroughputStandardDeviation,0.0
