,time
0,0.0092399120
1,0.0091099739
2,0.0091400146
3,0.0091700554
4,0.0091900826
5,0.0092101097
6,0.0092101097
7,0.0091798306
8,0.0092101097
9,0.0092399120
10,0.0091900826
11,0.0091497898
12,0.0092599392
13,0.0091998577
14,0.0091500282
15,0.0092198849
16,0.0092000961
17,0.0092098713
18,0.0091099739
19,0.0091199875
20,0.0091600418
21,0.0091600418
22,0.0091798306
23,0.0092401505
24,0.0091099739
25,0.0091900826
26,0.0091700554
27,0.0091700554
28,0.0092198849
29,0.0092301369
30,0.0091800690
31,0.0091600418
32,0.0091300011
33,0.0091700554
34,0.0091798306
35,0.0092301369
36,0.0092799664
37,0.0091500282
38,0.0091400146
39,0.0091998577
40,0.0091300011
41,0.0091500282
42,0.0091300011
43,0.0091199875
44,0.0091600418
45,0.0091898441
46,0.0091898441
47,0.0091700554
48,0.0091500282
49,0.0091600418
50,0.0091700554
51,0.0091099739
52,0.0091400146
53,0.0090799332
54,0.0091397762
55,0.0091798306
56,0.0091300011
57,0.0091600418
58,0.0091598034
59,0.0091199875
60,0.0091400146
61,0.0091300011
62,0.0091300011
63,0.0091300011
64,0.0090999603
65,0.0090899467
66,0.0091099739
67,0.0091698170
68,0.0092098713
69,0.0091199875
70,0.0091300011
71,0.0092198849
72,0.0091998577
73,0.0091300011
74,0.0091500282
75,0.0091400146
76,0.0091400146
77,0.0091202259
78,0.0091700554
79,0.0090200901
80,0.0091600418
81,0.0091900826
82,0.0092198849
83,0.0091500282
84,0.0091598034
85,0.0092599392
86,0.0091199875
87,0.0091698170
88,0.0091199875
89,0.0092201233
90,0.0090699196
91,0.0091500282
92,0.0091600418
93,0.0091700554
94,0.0090699196
95,0.0091698170
96,0.0091500282
97,0.0091500282
98,0.0091500282
99,0.0091698170
100,0.0090999603
101,0.0090899467
102,0.0091300011
103,0.0091800690
104,0.0092301369
105,0.0091102123
106,0.0091500282
107,0.0090901852
108,0.0091099739
109,0.0090498924
110,0.0091497898
111,0.0090899467
112,0.0092000961
113,0.0091300011
114,0.0090601444
115,0.0091400146
116,0.0090999603
117,0.0091199875
118,0.0090799332
119,0.0090301037
120,0.0090599060
121,0.0092301369
122,0.0091400146
123,0.0091199875
124,0.0091600418
125,0.0091500282
126,0.0091500282
127,0.0091500282
128,0.0091800690
129,0.0091199875
130,0.0091800690
131,0.0091998577
132,0.0091099739
133,0.0090999603
134,0.0092301369
135,0.0090799332
136,0.0092301369
137,0.0091199875
138,0.0091099739
139,0.0092201233
140,0.0091700554
141,0.0092101097
142,0.0090999603
143,0.0091300011
144,0.0091898441
145,0.0091099739
146,0.0091300011
147,0.0091300011
148,0.0090799332
149,0.0091300011
150,0.0091900826
151,0.0092101097
152,0.0091898441
153,0.0092201233
154,0.0092999935
155,0.0091600418
156,0.0092499256
157,0.0092301369
158,0.0091898441
159,0.0092701912
160,0.0092501640
161,0.0091800690
162,0.0092301369
163,0.0092098713
164,0.0090801716
165,0.0091900826
166,0.0091600418
167,0.0091900826
168,0.0092699528
169,0.0093400478
170,0.0091998577
171,0.0091600418
172,0.0092301369
173,0.0092499256
174,0.0092399120
175,0.0091800690
176,0.0091700554
177,0.0091998577
178,0.0092098713
179,0.0091698170
180,0.0092399120
