01:35:23 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:35:24 AM  1000     49644    7.00    1.00    0.00    0.00    8.00     2  python3
01:35:24 AM  1000     49646   13.00    3.00    0.00    0.00   16.00     3  java
01:35:25 AM  1000     49644    1.00    0.00    0.00    0.00    1.00     2  python3
01:35:25 AM  1000     49646  212.00   17.00    0.00    0.00  229.00     3  java
01:35:26 AM  1000     49646  273.00   16.00    0.00    0.00  289.00     3  java
01:35:27 AM  1000     49646  202.00   39.00    0.00    0.00  241.00     3  java
01:35:28 AM  1000     49646   48.51   52.48    0.00    0.00  100.99     3  java
01:35:29 AM  1000     49646   52.00   51.00    0.00    0.00  103.00     3  java
01:35:30 AM  1000     49646   46.00   56.00    0.00    0.00  102.00     3  java
01:35:31 AM  1000     49646   51.00   51.00    0.00    0.00  102.00     3  java
01:35:32 AM  1000     49646   53.00   55.00    0.00    0.00  108.00     3  java
01:35:33 AM  1000     49646   53.00   51.00    0.00    0.00  104.00     3  java
01:35:34 AM  1000     49646   57.00   45.00    0.00    0.00  102.00     3  java
01:35:35 AM  1000     49646   49.00   51.00    0.00    0.00  100.00     3  java
01:35:36 AM  1000     49646   52.00   52.00    0.00    0.00  104.00     3  java
01:35:37 AM  1000     49646   57.00   47.00    0.00    0.00  104.00     3  java
01:35:38 AM  1000     49646   56.00   46.00    0.00    0.00  102.00     3  java
