01:37:01 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:37:02 AM  1000     49837    9.00    0.00    0.00    0.00    9.00     2  python3
01:37:02 AM  1000     49839  127.00   16.00    0.00    0.00  143.00     3  java
01:37:03 AM  1000     49837    1.00    0.00    0.00    0.00    1.00     2  python3
01:37:03 AM  1000     49839  211.00   13.00    0.00    0.00  224.00     3  java
01:37:04 AM  1000     49839  300.99   20.79    0.00    0.00  321.78     3  java
01:37:05 AM  1000     49839   63.00   52.00    0.00    0.00  115.00     3  java
01:37:06 AM  1000     49839   55.88   47.06    0.00    0.00  102.94     3  java
01:37:07 AM  1000     49839   58.82   45.10    0.00    0.00  103.92     3  java
01:37:08 AM  1000     49839   59.00   44.00    0.00    0.00  103.00     3  java
01:37:09 AM  1000     49839   53.00   52.00    0.00    0.00  105.00     3  java
01:37:10 AM  1000     49839   55.45   48.51    0.00    0.00  103.96     3  java
01:37:11 AM  1000     49839   52.48   48.51    0.00    0.00  100.99     3  java
01:37:12 AM  1000     49839   50.50   52.48    0.00    0.00  102.97     3  java
01:37:13 AM  1000     49839   49.00   52.00    0.00    0.00  101.00     3  java
01:37:14 AM  1000     49839   62.00   42.00    0.00    0.00  104.00     3  java
01:37:15 AM  1000     49839   49.00   52.00    0.00    0.00  101.00     3  java
01:37:16 AM  1000     49839   60.78   43.14    0.00    0.00  103.92     3  java
