CMDLINE /usr/bin/python3 stream.py input_large large 4
MEM 3.687500 1619681723.8950
MEM 21.828125 1619681723.9953
MEM 21.828125 1619681724.0956
MEM 21.828125 1619681724.1959
MEM 21.828125 1619681724.2963
MEM 21.828125 1619681724.3966
MEM 21.828125 1619681724.4968
MEM 22.179688 1619681724.5972
MEM 22.265625 1619681724.6975
MEM 22.265625 1619681724.7979
MEM 22.265625 1619681724.8983
MEM 22.265625 1619681724.9985
MEM 22.265625 1619681725.0988
MEM 22.265625 1619681725.1992
MEM 22.265625 1619681725.2997
MEM 22.265625 1619681725.4003
MEM 22.265625 1619681725.5007
MEM 22.265625 1619681725.6009
MEM 22.265625 1619681725.7014
MEM 22.265625 1619681725.8062
MEM 22.265625 1619681725.9069
MEM 22.265625 1619681726.0073
MEM 22.265625 1619681726.1080
MEM 22.265625 1619681726.2084
MEM 22.265625 1619681726.3087
MEM 22.265625 1619681726.4090
MEM 22.265625 1619681726.5099
MEM 22.265625 1619681726.6106
MEM 22.265625 1619681726.7116
MEM 22.265625 1619681726.8118
MEM 22.265625 1619681726.9129
MEM 22.265625 1619681727.0132
MEM 22.265625 1619681727.1134
MEM 22.265625 1619681727.2144
MEM 22.265625 1619681727.3151
MEM 22.265625 1619681727.4157
MEM 22.265625 1619681727.5163
MEM 22.265625 1619681727.6165
MEM 22.265625 1619681727.7169
MEM 22.265625 1619681727.8171
MEM 22.265625 1619681727.9174
MEM 22.265625 1619681728.0177
MEM 22.265625 1619681728.1180
MEM 22.265625 1619681728.2184
MEM 22.265625 1619681728.3189
MEM 22.265625 1619681728.4192
MEM 22.265625 1619681728.5198
MEM 22.265625 1619681728.6202
MEM 22.265625 1619681728.7204
MEM 22.265625 1619681728.8206
MEM 22.265625 1619681728.9208
MEM 22.265625 1619681729.0211
MEM 22.265625 1619681729.1215
MEM 22.265625 1619681729.2220
MEM 22.265625 1619681729.3224
MEM 22.265625 1619681729.4230
MEM 22.265625 1619681729.5233
MEM 22.265625 1619681729.6235
MEM 22.265625 1619681729.7238
MEM 22.265625 1619681729.8242
MEM 22.265625 1619681729.9244
MEM 22.265625 1619681730.0247
MEM 22.265625 1619681730.1251
MEM 22.265625 1619681730.2255
MEM 22.265625 1619681730.3258
MEM 22.265625 1619681730.4262
MEM 22.265625 1619681730.5268
MEM 22.265625 1619681730.6276
MEM 22.265625 1619681730.7279
MEM 22.265625 1619681730.8281
MEM 22.265625 1619681730.9287
MEM 22.265625 1619681731.0290
MEM 22.265625 1619681731.1293
MEM 22.265625 1619681731.2305
MEM 22.265625 1619681731.3312
MEM 22.265625 1619681731.4315
MEM 22.265625 1619681731.5319
MEM 22.265625 1619681731.6322
MEM 22.265625 1619681731.7324
MEM 22.265625 1619681731.8327
MEM 22.265625 1619681731.9329
MEM 22.265625 1619681732.0331
MEM 22.265625 1619681732.1334
MEM 22.265625 1619681732.2337
MEM 22.265625 1619681732.3339
MEM 22.265625 1619681732.4343
MEM 22.265625 1619681732.5351
MEM 22.265625 1619681732.6360
MEM 22.265625 1619681732.7379
MEM 22.265625 1619681732.8382
MEM 22.265625 1619681732.9391
MEM 22.265625 1619681733.0396
MEM 22.265625 1619681733.1400
MEM 22.265625 1619681733.2406
MEM 22.265625 1619681733.3412
MEM 22.265625 1619681733.4416
MEM 22.265625 1619681733.5418
MEM 22.265625 1619681733.6421
MEM 22.265625 1619681733.7424
MEM 22.265625 1619681733.8426
MEM 22.265625 1619681733.9431
MEM 22.265625 1619681734.0433
MEM 22.265625 1619681734.1446
MEM 22.265625 1619681734.2449
MEM 22.265625 1619681734.3452
MEM 22.265625 1619681734.4455
MEM 22.265625 1619681734.5461
MEM 22.265625 1619681734.6472
MEM 22.265625 1619681734.7475
MEM 22.265625 1619681734.8477
MEM 22.265625 1619681734.9488
MEM 22.265625 1619681735.0491
MEM 22.265625 1619681735.1494
MEM 22.265625 1619681735.2496
MEM 22.265625 1619681735.3514
MEM 22.265625 1619681735.4519
MEM 22.265625 1619681735.5521
MEM 22.265625 1619681735.6524
MEM 22.265625 1619681735.7527
MEM 22.265625 1619681735.8529
MEM 22.265625 1619681735.9532
MEM 22.265625 1619681736.0534
MEM 22.265625 1619681736.1537
MEM 22.265625 1619681736.2539
MEM 22.265625 1619681736.3542
MEM 22.265625 1619681736.4555
MEM 22.265625 1619681736.5557
MEM 22.265625 1619681736.6563
MEM 22.265625 1619681736.7568
MEM 22.265625 1619681736.8571
MEM 22.265625 1619681736.9574
MEM 22.265625 1619681737.0576
MEM 22.265625 1619681737.1578
MEM 22.265625 1619681737.2583
MEM 22.265625 1619681737.3593
MEM 22.265625 1619681737.4596
MEM 22.265625 1619681737.5599
MEM 22.265625 1619681737.6603
MEM 22.265625 1619681737.7605
MEM 22.265625 1619681737.8610
MEM 22.265625 1619681737.9612
MEM 22.265625 1619681738.0615
MEM 22.265625 1619681738.1618
MEM 22.265625 1619681738.2622
MEM 22.265625 1619681738.3625
MEM 22.265625 1619681738.4627
MEM 22.265625 1619681738.5629
MEM 22.265625 1619681738.6636
