CMDLINE /usr/bin/python3 stream.py input_small small 8
MEM 3.613281 1619673521.9560
MEM 21.773438 1619673522.0573
MEM 21.773438 1619673522.1592
MEM 21.773438 1619673522.2596
MEM 21.773438 1619673522.3603
MEM 21.773438 1619673522.4606
MEM 21.773438 1619673522.5612
MEM 21.828125 1619673522.6614
MEM 22.210938 1619673522.7620
MEM 22.238281 1619673522.8627
MEM 22.238281 1619673522.9637
MEM 22.238281 1619673523.0651
MEM 22.238281 1619673523.1661
MEM 22.238281 1619673523.2665
MEM 22.238281 1619673523.3686
MEM 22.238281 1619673523.4690
MEM 22.238281 1619673523.5693
MEM 22.238281 1619673523.6699
MEM 22.238281 1619673523.7706
MEM 22.238281 1619673523.8709
MEM 22.238281 1619673523.9714
MEM 22.238281 1619673524.0721
MEM 22.238281 1619673524.1726
MEM 22.238281 1619673524.2730
MEM 22.238281 1619673524.3738
MEM 22.238281 1619673524.4741
MEM 22.238281 1619673524.5745
