04:42:03 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:42:04 PM  1000      3000    7.00    0.00    0.00    0.00    7.00     5  python3
04:42:04 PM  1000      3002   58.00    8.00    0.00    0.00   66.00     0  java
04:42:05 PM  1000      3000    1.00    1.00    0.00    0.00    2.00     5  python3
04:42:05 PM  1000      3002  211.00   17.00    0.00    0.00  228.00     0  java
04:42:06 PM  1000      3002  255.00   16.00    0.00    0.00  271.00     0  java
04:42:07 PM  1000      3002  139.00   43.00    0.00    0.00  182.00     0  java
04:42:08 PM  1000      3002   51.00   52.00    0.00    0.00  103.00     0  java
04:42:09 PM  1000      3002   58.00   44.00    0.00    0.00  102.00     0  java
04:42:10 PM  1000      3002   51.00   51.00    0.00    0.00  102.00     0  java
04:42:11 PM  1000      3002   55.00   49.00    0.00    0.00  104.00     0  java
04:42:12 PM  1000      3002   53.00   48.00    0.00    0.00  101.00     0  java
04:42:13 PM  1000      3002   48.51   54.46    0.00    0.00  102.97     0  java
04:42:14 PM  1000      3002   51.00   51.00    0.00    0.00  102.00     0  java
04:42:15 PM  1000      3002   53.00   49.00    0.00    0.00  102.00     0  java
04:42:16 PM  1000      3002   55.00   50.00    0.00    0.00  105.00     0  java
04:42:17 PM  1000      3002   62.00   40.00    0.00    0.00  102.00     0  java
04:42:18 PM  1000      3002   75.00   49.00    0.00    0.00  124.00     0  java
04:42:19 PM  1000      3002   56.00   46.00    0.00    0.00  102.00     0  java
04:42:20 PM  1000      3002   49.00   52.00    0.00    0.00  101.00     0  java
04:42:21 PM  1000      3002   51.00   50.00    0.00    0.00  101.00     0  java
04:42:22 PM  1000      3002   53.00   51.00    0.00    0.00  104.00     0  java
04:42:24 PM  1000      3002   51.00   49.00    0.00    0.00  100.00     0  java
04:42:25 PM  1000      3002   56.00   47.00    0.00    0.00  103.00     0  java
04:42:26 PM  1000      3002   60.00   42.00    0.00    0.00  102.00     0  java
04:42:27 PM  1000      3002   57.00   48.00    0.00    0.00  105.00     0  java
04:42:28 PM  1000      3002   54.00   47.00    0.00    0.00  101.00     0  java
04:42:29 PM  1000      3002   53.00   50.00    0.00    0.00  103.00     0  java
04:42:30 PM  1000      3002   53.00   48.00    0.00    0.00  101.00     0  java
04:42:31 PM  1000      3002   52.48   48.51    0.00    0.00  100.99     0  java
04:42:32 PM  1000      3002   50.00   51.00    0.00    0.00  101.00     0  java
04:42:33 PM  1000      3002   52.00   50.00    0.00    0.00  102.00     0  java
04:42:34 PM  1000      3002   58.00   43.00    0.00    0.00  101.00     0  java
04:42:35 PM  1000      3002   56.00   45.00    0.00    0.00  101.00     0  java
04:42:36 PM  1000      3002   56.00   46.00    0.00    0.00  102.00     0  java
04:42:37 PM  1000      3002   52.00   52.00    0.00    0.00  104.00     0  java
04:42:38 PM  1000      3002   55.00   51.00    0.00    0.00  106.00     0  java
04:42:39 PM  1000      3002   53.00   50.00    0.00    0.00  103.00     0  java
04:42:40 PM  1000      3002   53.00   49.00    0.00    0.00  102.00     0  java
04:42:41 PM  1000      3002   61.00   40.00    0.00    0.00  101.00     0  java
04:42:42 PM  1000      3002   59.00   44.00    0.00    0.00  103.00     0  java
04:42:43 PM  1000      3002   53.47   47.52    0.00    0.00  100.99     0  java
04:42:44 PM  1000      3002   54.00   47.00    0.00    0.00  101.00     0  java
04:42:45 PM  1000      3002   55.45   45.54    0.00    0.00  100.99     0  java
04:42:46 PM  1000      3002   54.00   48.00    0.00    0.00  102.00     0  java
04:42:47 PM  1000      3002   56.00   48.00    0.00    0.00  104.00     0  java
04:42:48 PM  1000      3002   50.00   52.00    0.00    0.00  102.00     0  java
04:42:49 PM  1000      3002   60.00   41.00    0.00    0.00  101.00     0  java
04:42:50 PM  1000      3002   57.00   45.00    0.00    0.00  102.00     0  java
04:42:51 PM  1000      3002   54.00   48.00    0.00    0.00  102.00     0  java
04:42:52 PM  1000      3002   54.00   48.00    0.00    0.00  102.00     0  java
04:42:53 PM  1000      3002   58.00   43.00    0.00    0.00  101.00     0  java
04:42:54 PM  1000      3002   50.00   51.00    0.00    0.00  101.00     0  java
04:42:55 PM  1000      3002   48.51   52.48    0.00    0.00  100.99     0  java
04:42:56 PM  1000      3002   59.00   43.00    0.00    0.00  102.00     0  java
04:42:57 PM  1000      3002   61.00   47.00    0.00    0.00  108.00     0  java
04:42:58 PM  1000      3002   56.00   45.00    0.00    0.00  101.00     0  java
04:42:59 PM  1000      3002   54.00   48.00    0.00    0.00  102.00     0  java
04:43:00 PM  1000      3002   55.00   46.00    0.00    0.00  101.00     0  java
04:43:01 PM  1000      3002   52.00   50.00    0.00    0.00  102.00     0  java
04:43:02 PM  1000      3002   56.00   45.00    0.00    0.00  101.00     0  java
04:43:03 PM  1000      3002   49.00   53.00    0.00    0.00  102.00     0  java
04:43:04 PM  1000      3002   53.00   48.00    0.00    0.00  101.00     0  java
04:43:05 PM  1000      3002   55.00   47.00    0.00    0.00  102.00     0  java
04:43:06 PM  1000      3002   65.35   41.58    0.00    0.00  106.93     0  java
