CMDLINE /usr/bin/python3 stream.py input_tiny tiny 8
MEM 3.609375 1619683687.8485
MEM 21.769531 1619683687.9487
MEM 21.769531 1619683688.0496
MEM 21.769531 1619683688.1501
MEM 21.769531 1619683688.2504
MEM 21.769531 1619683688.3508
MEM 21.769531 1619683688.4519
MEM 21.769531 1619683688.5522
MEM 22.210938 1619683688.6529
MEM 22.210938 1619683688.7543
MEM 22.242188 1619683688.8565
MEM 22.242188 1619683688.9568
MEM 22.242188 1619683689.0571
MEM 22.242188 1619683689.1573
MEM 22.242188 1619683689.2577
MEM 22.242188 1619683689.3582
MEM 22.242188 1619683689.4586
MEM 22.242188 1619683689.5592
MEM 22.242188 1619683689.6645
MEM 22.242188 1619683689.7653
MEM 22.242188 1619683689.8662
MEM 22.242188 1619683689.9672
MEM 22.242188 1619683690.0678
MEM 22.242188 1619683690.1685
MEM 22.242188 1619683690.2721
MEM 22.242188 1619683690.3724
MEM 22.250000 1619683690.4786
