file name,writeLatencyMin,writeLatencyMax,writeLatencyMin
Results\cap_perf.csv_min_sec.csv,1.4781951904296875e-05,0.48858189582824707,1.4781951904296875e-05
Results\db_perf_10r.csv_min_sec.csv,8.821487426757812e-06,0.09558916091918945,8.821487426757812e-06
Results\db_perf_10w.csv_min_sec.csv,1.0967254638671875e-05,0.06187582015991211,1.0967254638671875e-05
Results\db_perf_1r.csv_min_sec.csv,0.0015528202056884766,0.007616996765136719,0.0015528202056884766
