messageID,publisherToBrokerTime,brokerToSubscriberTime
2272921818154918,0.01064,1.389779
2272893801473018,0.004938,1.575595
2272902190053377,0.000658,2.190794
2272902914981965,0.000696,3.443405
2272903605808160,0.000963,3.476229
2272901605113715,0.001534,4.568678
2272903605802366,0.000657,4.60709
2272904264950423,0.003059,4.651117
2272911321409824,0.707922,3.983021
2272901986403457,0.70278,4.023018
