Metric,Value
publisherToBrokerTimesMin,0.000522
publisherToBrokerTimesMax,38.918778
publisherToBrokerTimesAverage,7.733700698000007
publisherToBrokerTimesStandardDeviation,9.454690688158678
brokerToSubscriberTimesMin,0.234959
brokerToSubscriberTimesMax,5707.624694
brokerToSubscriberTimesAverage,1882.0525322579979
brokerToSubscriberTimesStandardDeviation,2422.2861843463734
publisherToBrokerSuccessRatesMin,0.5
publisherToBrokerSuccessRatesMax,0.9947089947089947
publisherToBrokerSuccessRatesAverage,0.9139456753610973
publisherToBrokerSuccessRatesStandardDeviation,0.09264780702114919
brokerToSubscriberSuccessRatesMin,1.0
brokerToSubscriberSuccessRatesMax,1.0
brokerToSubscriberSuccessRatesAverage,1.0
brokerToSubscriberSuccessRatesStandardDeviation,0.0
