Metric,Value
publisherToBrokerTimesMin,0.000522
publisherToBrokerTimesMax,35.802474
publisherToBrokerTimesAverage,7.138679949999991
publisherToBrokerTimesStandardDeviation,7.243934034063729
brokerToSubscriberTimesMin,0.234959
brokerToSubscriberTimesMax,2047.158551
brokerToSubscriberTimesAverage,226.2048559600001
brokerToSubscriberTimesStandardDeviation,561.5919977979576
publisherToBrokerSuccessRatesMin,0.8181818181818182
publisherToBrokerSuccessRatesMax,0.9903846153846154
publisherToBrokerSuccessRatesAverage,0.9122040348038619
publisherToBrokerSuccessRatesStandardDeviation,0.06401932368352563
brokerToSubscriberSuccessRatesMin,1.0
brokerToSubscriberSuccessRatesMax,1.0
brokerToSubscriberSuccessRatesAverage,1.0
brokerToSubscriberSuccessRatesStandardDeviation,0.0
