Metric,Value
publisherToBrokerTimesMin,0.000491
publisherToBrokerTimesMax,55.863841
publisherToBrokerTimesAverage,16.36818196518263
publisherToBrokerTimesStandardDeviation,16.237048127006886
brokerToSubscriberTimesMin,0.234959
brokerToSubscriberTimesMax,5707.624694
brokerToSubscriberTimesAverage,797.7492446130138
brokerToSubscriberTimesStandardDeviation,1590.3564450744184
publisherToBrokerSuccessRatesMin,0.3333333333333333
publisherToBrokerSuccessRatesMax,1.0
publisherToBrokerSuccessRatesAverage,0.8690136116193029
publisherToBrokerSuccessRatesStandardDeviation,0.18012291701250044
brokerToSubscriberSuccessRatesMin,1.0
brokerToSubscriberSuccessRatesMax,1.1
brokerToSubscriberSuccessRatesAverage,1.0011428571428571
brokerToSubscriberSuccessRatesStandardDeviation,0.01062918585013616
