Condition,publisherToBrokerTimesMin,publisherToBrokerTimesMax,publisherToBrokerTimesAverage,publisherToBrokerTimesStandardDeviation,brokerToSubscriberTimesMin,brokerToSubscriberTimesMax,brokerToSubscriberTimesAverage,brokerToSubscriberTimesStandardDeviation,publisherToBrokerSuccessRatesMin,publisherToBrokerSuccessRatesMax,publisherToBrokerSuccessRatesAverage,publisherToBrokerSuccessRatesStandardDeviation,brokerToSubscriberSuccessRatesMin,brokerToSubscriberSuccessRatesMax,brokerToSubscriberSuccessRatesAverage,brokerToSubscriberSuccessRatesStandardDeviation
1producer1consumer,0.000522,13.6736,2.2095237199999995,3.228969260904037,0.234959,2.8478,0.80070736,0.6942541598210199,0.8333333333333334,0.9090909090909091,0.888080808080808,0.02836496011184783,1.0,1.0,1.0,0.0
1producer5consumer,0.000522,35.802474,7.138679949999991,7.243934034063729,0.234959,2047.158551,226.2048559600001,561.5919977979576,0.8181818181818182,0.9903846153846154,0.9122040348038619,0.06401932368352563,1.0,1.0,1.0,0.0
25producer25consumer1,0.000522,38.918778,7.733700698000007,9.454690688158678,0.234959,5707.624694,1882.0525322579979,2422.2861843463734,0.5,0.9947089947089947,0.9139456753610973,0.09264780702114919,1.0,1.0,1.0,0.0
25producer25consumer2,0.000522,38.918778,7.733700698000007,9.454690688158678,0.234959,5707.624694,1882.0525322579979,2422.2861843463734,0.5,0.9947089947089947,0.9139456753610973,0.09264780702114919,1.0,1.0,1.0,0.0
25producer25consumer3,0.000522,38.918778,7.733700698000007,9.454690688158678,0.234959,5707.624694,1882.0525322579979,2422.2861843463734,0.5,0.9947089947089947,0.9139456753610973,0.09264780702114919,1.0,1.0,1.0,0.0
25producer25consumer4,0.000522,38.918778,7.733700698000007,9.454690688158678,0.234959,5707.624694,1882.0525322579979,2422.2861843463734,0.5,0.9947089947089947,0.9139456753610973,0.09264780702114919,1.0,1.0,1.0,0.0
5producer1consumer,0.000522,38.918778,7.207236329090913,9.356916339439026,0.234959,5707.624694,1711.1075702072703,2371.9793570274796,0.5,0.9947089947089947,0.8811627351767551,0.1377634999006729,1.0,1.0,1.0,0.0
8producer8consumer1,0.000491,55.324308,10.812731443743436,12.359435351689639,0.234959,5707.624694,1290.9773280241832,1991.8650629853166,0.3333333333333333,0.9947089947089947,0.8702817701587916,0.1643427407192067,1.0,1.1,1.0010526315789474,0.010205641805087031
8producer8consumer2,0.000491,55.863841,15.531380504071045,15.825906799355158,0.234959,5707.624694,967.2441975795691,1759.196304821624,0.3333333333333333,0.9947089947089947,0.862404679864369,0.1872910471711275,1.0,1.1,1.0007407407407407,0.008574694002066828
8producer8consumer3,0.000491,55.863841,16.36818196518263,16.237048127006886,0.234959,5707.624694,797.7492446130138,1590.3564450744184,0.3333333333333333,1.0,0.8690136116193029,0.18012291701250044,1.0,1.1,1.0011428571428571,0.01062918585013616
all,0.000491,55.863841,16.368181965182696,16.23704812700691,0.234959,5707.624694,797.749244613015,1590.3564450744166,0.3333333333333333,1.0,0.869013611619303,0.1801229170125005,1.0,1.1,1.0011428571428571,0.010629185850136199
