Metric,Value
publisherToBrokerTimesMin,0.000491
publisherToBrokerTimesMax,55.863841
publisherToBrokerTimesAverage,16.368181965182696
publisherToBrokerTimesStandardDeviation,16.23704812700691
brokerToSubscriberTimesMin,0.234959
brokerToSubscriberTimesMax,5707.624694
brokerToSubscriberTimesAverage,797.749244613015
brokerToSubscriberTimesStandardDeviation,1590.3564450744166
publisherToBrokerSuccessRatesMin,0.3333333333333333
publisherToBrokerSuccessRatesMax,1.0
publisherToBrokerSuccessRatesAverage,0.869013611619303
publisherToBrokerSuccessRatesStandardDeviation,0.1801229170125005
brokerToSubscriberSuccessRatesMin,1.0
brokerToSubscriberSuccessRatesMax,1.1
brokerToSubscriberSuccessRatesAverage,1.0011428571428571
brokerToSubscriberSuccessRatesStandardDeviation,0.010629185850136199
