Metric,Value
publisherToBrokerTimesMin,0.000491
publisherToBrokerTimesMax,55.324308
publisherToBrokerTimesAverage,10.812731443743436
publisherToBrokerTimesStandardDeviation,12.359435351689639
brokerToSubscriberTimesMin,0.234959
brokerToSubscriberTimesMax,5707.624694
brokerToSubscriberTimesAverage,1290.9773280241832
brokerToSubscriberTimesStandardDeviation,1991.8650629853166
publisherToBrokerSuccessRatesMin,0.3333333333333333
publisherToBrokerSuccessRatesMax,0.9947089947089947
publisherToBrokerSuccessRatesAverage,0.8702817701587916
publisherToBrokerSuccessRatesStandardDeviation,0.1643427407192067
brokerToSubscriberSuccessRatesMin,1.0
brokerToSubscriberSuccessRatesMax,1.1
brokerToSubscriberSuccessRatesAverage,1.0010526315789474
brokerToSubscriberSuccessRatesStandardDeviation,0.010205641805087031
