Metric,Value
publisherToBrokerTimesMin,0.000522
publisherToBrokerTimesMax,13.6736
publisherToBrokerTimesAverage,2.2095237199999995
publisherToBrokerTimesStandardDeviation,3.228969260904037
brokerToSubscriberTimesMin,0.234959
brokerToSubscriberTimesMax,2.8478
brokerToSubscriberTimesAverage,0.80070736
brokerToSubscriberTimesStandardDeviation,0.6942541598210199
publisherToBrokerSuccessRatesMin,0.8333333333333334
publisherToBrokerSuccessRatesMax,0.9090909090909091
publisherToBrokerSuccessRatesAverage,0.888080808080808
publisherToBrokerSuccessRatesStandardDeviation,0.02836496011184783
brokerToSubscriberSuccessRatesMin,1.0
brokerToSubscriberSuccessRatesMax,1.0
brokerToSubscriberSuccessRatesAverage,1.0
brokerToSubscriberSuccessRatesStandardDeviation,0.0
