Metric,Value
publisherToBrokerTimesMin,0.000522
publisherToBrokerTimesMax,38.918778
publisherToBrokerTimesAverage,7.207236329090913
publisherToBrokerTimesStandardDeviation,9.356916339439026
brokerToSubscriberTimesMin,0.234959
brokerToSubscriberTimesMax,5707.624694
brokerToSubscriberTimesAverage,1711.1075702072703
brokerToSubscriberTimesStandardDeviation,2371.9793570274796
publisherToBrokerSuccessRatesMin,0.5
publisherToBrokerSuccessRatesMax,0.9947089947089947
publisherToBrokerSuccessRatesAverage,0.8811627351767551
publisherToBrokerSuccessRatesStandardDeviation,0.1377634999006729
brokerToSubscriberSuccessRatesMin,1.0
brokerToSubscriberSuccessRatesMax,1.0
brokerToSubscriberSuccessRatesAverage,1.0
brokerToSubscriberSuccessRatesStandardDeviation,0.0
