start_times,end_time,time_diff
1619558553.657881,1619558553.658065,0.00018405914306640625
1619558553.658065,1619558553.65809,2.5033950805664062e-05
1619558553.65809,1619558553.658107,1.6927719116210938e-05
1619558553.658107,1619558553.658123,1.5974044799804688e-05
1619558553.658123,1619558553.65814,1.6927719116210938e-05
1619558553.65814,1619558553.658155,1.5020370483398438e-05
1619558553.658155,1619558553.658171,1.5974044799804688e-05
1619558553.658171,1619558553.658187,1.5974044799804688e-05
1619558553.658187,1619558553.658203,1.5974044799804688e-05
1619558553.658203,1619558553.658219,1.621246337890625e-05
1619558553.658219,1619558553.658235,1.5974044799804688e-05
1619558553.658235,1619558553.65825,1.5020370483398438e-05
1619558553.65825,1619558553.658266,1.5974044799804688e-05
1619558553.658266,1619558553.658282,1.5974044799804688e-05
1619558553.658282,1619558553.658298,1.5974044799804688e-05
1619558553.658298,1619558553.658313,1.5020370483398438e-05
1619558553.658313,1619558553.658329,1.5974044799804688e-05
1619558553.658329,1619558553.658345,1.5974044799804688e-05
1619558553.658345,1619558553.658361,1.5974044799804688e-05
1619558553.658361,1619558553.658377,1.5974044799804688e-05
1619558553.658377,1619558553.658393,1.5974044799804688e-05
1619558553.658393,1619558553.658408,1.5020370483398438e-05
1619558553.658408,1619558553.658424,1.5974044799804688e-05
1619558553.658424,1619558553.658439,1.5020370483398438e-05
1619558553.658439,1619558553.658456,1.71661376953125e-05
1619558553.658456,1619558553.658472,1.5974044799804688e-05
1619558553.658472,1619558553.658488,1.5974044799804688e-05
1619558553.658488,1619558553.658503,1.5020370483398438e-05
1619558553.658503,1619558553.658519,1.5974044799804688e-05
1619558553.658519,1619558553.658535,1.5974044799804688e-05
1619558553.658535,1619558553.658551,1.5974044799804688e-05
1619558553.658551,1619558553.658567,1.5974044799804688e-05
1619558553.658567,1619558553.658583,1.5974044799804688e-05
1619558553.658583,1619558553.658598,1.5020370483398438e-05
1619558553.658598,1619558553.658614,1.5974044799804688e-05
1619558553.658614,1619558553.65863,1.5974044799804688e-05
1619558553.65863,1619558553.658646,1.621246337890625e-05
1619558553.658646,1619558553.658662,1.5974044799804688e-05
1619558553.658662,1619558553.658677,1.5020370483398438e-05
1619558553.658677,1619558553.658694,1.6927719116210938e-05
1619558553.658694,1619558553.658709,1.5020370483398438e-05
1619558553.658709,1619558553.658725,1.5974044799804688e-05
1619558553.658725,1619558553.658741,1.5974044799804688e-05
1619558553.658741,1619558553.658756,1.5020370483398438e-05
1619558553.658756,1619558553.658771,1.5020370483398438e-05
1619558553.658771,1619558553.658787,1.5974044799804688e-05
1619558553.658787,1619558553.658804,1.6927719116210938e-05
1619558553.658804,1619558553.658819,1.5020370483398438e-05
1619558553.658819,1619558553.658835,1.5974044799804688e-05
1619558553.658835,1619558553.658851,1.5974044799804688e-05
1619558553.658851,1619558553.658867,1.5974044799804688e-05
1619558553.658867,1619558553.658883,1.621246337890625e-05
1619558553.658883,1619558553.658899,1.5974044799804688e-05
1619558553.658899,1619558553.658914,1.5020370483398438e-05
1619558553.658914,1619558553.65893,1.5974044799804688e-05
1619558553.65893,1619558553.658946,1.5974044799804688e-05
1619558553.658946,1619558553.658962,1.5974044799804688e-05
1619558553.658962,1619558553.658978,1.5974044799804688e-05
1619558553.658978,1619558553.658994,1.5974044799804688e-05
1619558553.658994,1619558553.65901,1.5974044799804688e-05
1619558553.65901,1619558553.659026,1.5974044799804688e-05
1619558553.659026,1619558553.659041,1.5020370483398438e-05
1619558553.659041,1619558553.659057,1.5974044799804688e-05
1619558553.659057,1619558553.659073,1.621246337890625e-05
1619558553.659073,1619558553.659089,1.5974044799804688e-05
1619558553.659089,1619558553.659105,1.5974044799804688e-05
1619558553.659105,1619558553.659121,1.5974044799804688e-05
1619558553.659121,1619558553.659137,1.5974044799804688e-05
1619558553.659137,1619558553.659153,1.5974044799804688e-05
1619558553.659153,1619558553.659169,1.5974044799804688e-05
1619558553.659169,1619558553.659184,1.5020370483398438e-05
1619558553.659184,1619558553.6592,1.5974044799804688e-05
1619558553.6592,1619558553.659216,1.5974044799804688e-05
1619558553.659216,1619558553.659232,1.5974044799804688e-05
1619558553.659232,1619558553.659249,1.71661376953125e-05
1619558553.659249,1619558553.659264,1.5020370483398438e-05
1619558553.659264,1619558553.65928,1.5974044799804688e-05
1619558553.65928,1619558553.659296,1.5974044799804688e-05
1619558553.659296,1619558553.659312,1.5974044799804688e-05
1619558553.659312,1619558553.659327,1.5020370483398438e-05
1619558553.659327,1619558553.659343,1.5974044799804688e-05
1619558553.659343,1619558553.659359,1.5974044799804688e-05
1619558553.659359,1619558553.659375,1.5974044799804688e-05
1619558553.659375,1619558553.65939,1.5020370483398438e-05
1619558553.65939,1619558553.659406,1.5974044799804688e-05
1619558553.659406,1619558553.659422,1.5974044799804688e-05
1619558553.659422,1619558553.659438,1.5974044799804688e-05
1619558553.659438,1619558553.659454,1.621246337890625e-05
1619558553.659454,1619558553.65947,1.5974044799804688e-05
1619558553.65947,1619558553.659486,1.5974044799804688e-05
1619558553.659486,1619558553.659502,1.5974044799804688e-05
1619558553.659502,1619558553.659518,1.5974044799804688e-05
1619558553.659518,1619558553.659534,1.5974044799804688e-05
1619558553.659534,1619558553.65955,1.5974044799804688e-05
1619558553.65955,1619558553.659566,1.5974044799804688e-05
1619558553.659566,1619558553.659581,1.5020370483398438e-05
1619558553.659581,1619558553.659597,1.5974044799804688e-05
1619558553.659597,1619558553.659613,1.5974044799804688e-05
1619558553.659613,1619558553.659629,1.621246337890625e-05
1619558553.659629,1619558553.659644,1.4781951904296875e-05
1619558553.659644,1619558553.659661,1.71661376953125e-05
1619558553.659661,1619558553.659676,1.5020370483398438e-05
1619558553.659676,1619558553.659692,1.5974044799804688e-05
1619558553.659692,1619558553.659708,1.5974044799804688e-05
1619558553.659708,1619558553.659724,1.5974044799804688e-05
1619558553.659724,1619558553.65974,1.5974044799804688e-05
1619558553.65974,1619558553.659756,1.5974044799804688e-05
1619558553.659756,1619558553.659772,1.5974044799804688e-05
1619558553.659772,1619558553.659788,1.5974044799804688e-05
1619558553.659788,1619558553.659804,1.621246337890625e-05
1619558553.659804,1619558553.65982,1.5974044799804688e-05
1619558553.65982,1619558553.659835,1.5020370483398438e-05
1619558553.659835,1619558553.659851,1.5974044799804688e-05
1619558553.659851,1619558553.659867,1.5974044799804688e-05
1619558553.659867,1619558553.659883,1.5974044799804688e-05
1619558553.659883,1619558553.659898,1.5020370483398438e-05
1619558553.659898,1619558553.659914,1.5974044799804688e-05
1619558553.659914,1619558553.65993,1.5974044799804688e-05
1619558553.65993,1619558553.659946,1.5974044799804688e-05
1619558553.659946,1619558553.659962,1.5974044799804688e-05
1619558553.659962,1619558553.659978,1.5974044799804688e-05
1619558553.659978,1619558553.659995,1.71661376953125e-05
1619558553.659995,1619558553.660011,1.5974044799804688e-05
1619558553.660011,1619558553.660027,1.5974044799804688e-05
1619558553.660027,1619558553.660043,1.5974044799804688e-05
1619558553.660043,1619558553.660059,1.5974044799804688e-05
1619558553.660059,1619558553.660075,1.5974044799804688e-05
1619558553.660075,1619558553.660091,1.5974044799804688e-05
1619558553.660091,1619558553.660107,1.5974044799804688e-05
1619558553.660107,1619558553.660123,1.621246337890625e-05
1619558553.660123,1619558553.660139,1.5974044799804688e-05
1619558553.660139,1619558553.660155,1.5974044799804688e-05
1619558553.660155,1619558553.660171,1.5974044799804688e-05
1619558553.660171,1619558553.660186,1.5020370483398438e-05
1619558553.660186,1619558553.660202,1.5974044799804688e-05
1619558553.660202,1619558553.660218,1.5974044799804688e-05
1619558553.660218,1619558553.660233,1.5020370483398438e-05
1619558553.660233,1619558553.660249,1.5974044799804688e-05
1619558553.660249,1619558553.660265,1.5974044799804688e-05
1619558553.660265,1619558553.660281,1.5974044799804688e-05
1619558553.660281,1619558553.660298,1.71661376953125e-05
1619558553.660298,1619558553.660313,1.4781951904296875e-05
1619558553.660313,1619558553.660329,1.621246337890625e-05
1619558553.660329,1619558553.660345,1.5974044799804688e-05
1619558553.660345,1619558553.660361,1.5974044799804688e-05
1619558553.660361,1619558553.660377,1.5974044799804688e-05
1619558553.660377,1619558553.660393,1.5974044799804688e-05
1619558553.660393,1619558553.660409,1.5974044799804688e-05
1619558553.660409,1619558553.660425,1.5974044799804688e-05
1619558553.660425,1619558553.660441,1.5974044799804688e-05
1619558553.660441,1619558553.660457,1.5974044799804688e-05
1619558553.660457,1619558553.660472,1.5020370483398438e-05
1619558553.660472,1619558553.660488,1.5974044799804688e-05
1619558553.660488,1619558553.660504,1.621246337890625e-05
1619558553.660504,1619558553.66052,1.5974044799804688e-05
1619558553.66052,1619558553.660536,1.5974044799804688e-05
1619558553.660536,1619558553.660553,1.6927719116210938e-05
1619558553.660553,1619558553.660568,1.5020370483398438e-05
1619558553.660568,1619558553.660584,1.5974044799804688e-05
1619558553.660584,1619558553.6606,1.5974044799804688e-05
1619558553.6606,1619558553.660617,1.71661376953125e-05
1619558553.660617,1619558553.660633,1.5974044799804688e-05
1619558553.660633,1619558553.660649,1.5974044799804688e-05
1619558553.660649,1619558553.660664,1.5020370483398438e-05
1619558553.660664,1619558553.66068,1.5974044799804688e-05
1619558553.66068,1619558553.660696,1.5974044799804688e-05
1619558553.660696,1619558553.660712,1.5974044799804688e-05
1619558553.660712,1619558553.660727,1.5020370483398438e-05
1619558553.660727,1619558553.660743,1.5974044799804688e-05
1619558553.660743,1619558553.660759,1.5974044799804688e-05
1619558553.660759,1619558553.660774,1.5020370483398438e-05
1619558553.660774,1619558553.660791,1.6927719116210938e-05
1619558553.660791,1619558553.660807,1.5974044799804688e-05
1619558553.660807,1619558553.660822,1.5020370483398438e-05
1619558553.660822,1619558553.660838,1.5974044799804688e-05
1619558553.660838,1619558553.660854,1.621246337890625e-05
1619558553.660854,1619558553.66087,1.5974044799804688e-05
1619558553.66087,1619558553.660886,1.5974044799804688e-05
1619558553.660886,1619558553.660902,1.5974044799804688e-05
1619558553.660902,1619558553.660917,1.5020370483398438e-05
1619558553.660917,1619558553.660933,1.5974044799804688e-05
1619558553.660933,1619558553.66095,1.6927719116210938e-05
1619558553.66095,1619558553.660965,1.5020370483398438e-05
1619558553.660965,1619558553.660981,1.5974044799804688e-05
1619558553.660981,1619558553.660997,1.5974044799804688e-05
1619558553.660997,1619558553.661193,0.00019598007202148438
1619558553.661193,1619558553.661211,1.811981201171875e-05
1619558553.661211,1619558553.661228,1.6927719116210938e-05
1619558553.661228,1619558553.661244,1.5974044799804688e-05
1619558553.661244,1619558553.66126,1.5974044799804688e-05
1619558553.66126,1619558553.661276,1.621246337890625e-05
1619558553.661276,1619558553.661293,1.6927719116210938e-05
1619558553.661293,1619558553.661309,1.5974044799804688e-05
1619558553.661309,1619558553.661325,1.5974044799804688e-05
1619558553.661325,1619558553.66134,1.5020370483398438e-05
1619558553.66134,1619558553.661356,1.5974044799804688e-05
