reader_id,start_time,end_time
1,2021-04-22 17:22:33.657881,2021-04-22 17:22:33.658065
1,2021-04-22 17:22:33.658065,2021-04-22 17:22:33.65809
1,2021-04-22 17:22:33.65809,2021-04-22 17:22:33.658107
1,2021-04-22 17:22:33.658107,2021-04-22 17:22:33.658123
1,2021-04-22 17:22:33.658123,2021-04-22 17:22:33.65814
1,2021-04-22 17:22:33.65814,2021-04-22 17:22:33.658155
1,2021-04-22 17:22:33.658155,2021-04-22 17:22:33.658171
1,2021-04-22 17:22:33.658171,2021-04-22 17:22:33.658187
1,2021-04-22 17:22:33.658187,2021-04-22 17:22:33.658203
1,2021-04-22 17:22:33.658203,2021-04-22 17:22:33.658219
1,2021-04-22 17:22:33.658219,2021-04-22 17:22:33.658235
1,2021-04-22 17:22:33.658235,2021-04-22 17:22:33.65825
1,2021-04-22 17:22:33.65825,2021-04-22 17:22:33.658266
1,2021-04-22 17:22:33.658266,2021-04-22 17:22:33.658282
1,2021-04-22 17:22:33.658282,2021-04-22 17:22:33.658298
1,2021-04-22 17:22:33.658298,2021-04-22 17:22:33.658313
1,2021-04-22 17:22:33.658313,2021-04-22 17:22:33.658329
1,2021-04-22 17:22:33.658329,2021-04-22 17:22:33.658345
1,2021-04-22 17:22:33.658345,2021-04-22 17:22:33.658361
1,2021-04-22 17:22:33.658361,2021-04-22 17:22:33.658377
1,2021-04-22 17:22:33.658377,2021-04-22 17:22:33.658393
1,2021-04-22 17:22:33.658393,2021-04-22 17:22:33.658408
1,2021-04-22 17:22:33.658408,2021-04-22 17:22:33.658424
1,2021-04-22 17:22:33.658424,2021-04-22 17:22:33.658439
1,2021-04-22 17:22:33.658439,2021-04-22 17:22:33.658456
1,2021-04-22 17:22:33.658456,2021-04-22 17:22:33.658472
1,2021-04-22 17:22:33.658472,2021-04-22 17:22:33.658488
1,2021-04-22 17:22:33.658488,2021-04-22 17:22:33.658503
1,2021-04-22 17:22:33.658503,2021-04-22 17:22:33.658519
1,2021-04-22 17:22:33.658519,2021-04-22 17:22:33.658535
1,2021-04-22 17:22:33.658535,2021-04-22 17:22:33.658551
1,2021-04-22 17:22:33.658551,2021-04-22 17:22:33.658567
1,2021-04-22 17:22:33.658567,2021-04-22 17:22:33.658583
1,2021-04-22 17:22:33.658583,2021-04-22 17:22:33.658598
1,2021-04-22 17:22:33.658598,2021-04-22 17:22:33.658614
1,2021-04-22 17:22:33.658614,2021-04-22 17:22:33.65863
1,2021-04-22 17:22:33.65863,2021-04-22 17:22:33.658646
1,2021-04-22 17:22:33.658646,2021-04-22 17:22:33.658662
1,2021-04-22 17:22:33.658662,2021-04-22 17:22:33.658677
1,2021-04-22 17:22:33.658677,2021-04-22 17:22:33.658694
1,2021-04-22 17:22:33.658694,2021-04-22 17:22:33.658709
1,2021-04-22 17:22:33.658709,2021-04-22 17:22:33.658725
1,2021-04-22 17:22:33.658725,2021-04-22 17:22:33.658741
1,2021-04-22 17:22:33.658741,2021-04-22 17:22:33.658756
1,2021-04-22 17:22:33.658756,2021-04-22 17:22:33.658771
1,2021-04-22 17:22:33.658771,2021-04-22 17:22:33.658787
1,2021-04-22 17:22:33.658787,2021-04-22 17:22:33.658804
1,2021-04-22 17:22:33.658804,2021-04-22 17:22:33.658819
1,2021-04-22 17:22:33.658819,2021-04-22 17:22:33.658835
1,2021-04-22 17:22:33.658835,2021-04-22 17:22:33.658851
1,2021-04-22 17:22:33.658851,2021-04-22 17:22:33.658867
1,2021-04-22 17:22:33.658867,2021-04-22 17:22:33.658883
1,2021-04-22 17:22:33.658883,2021-04-22 17:22:33.658899
1,2021-04-22 17:22:33.658899,2021-04-22 17:22:33.658914
1,2021-04-22 17:22:33.658914,2021-04-22 17:22:33.65893
1,2021-04-22 17:22:33.65893,2021-04-22 17:22:33.658946
1,2021-04-22 17:22:33.658946,2021-04-22 17:22:33.658962
1,2021-04-22 17:22:33.658962,2021-04-22 17:22:33.658978
1,2021-04-22 17:22:33.658978,2021-04-22 17:22:33.658994
1,2021-04-22 17:22:33.658994,2021-04-22 17:22:33.65901
1,2021-04-22 17:22:33.65901,2021-04-22 17:22:33.659026
1,2021-04-22 17:22:33.659026,2021-04-22 17:22:33.659041
1,2021-04-22 17:22:33.659041,2021-04-22 17:22:33.659057
1,2021-04-22 17:22:33.659057,2021-04-22 17:22:33.659073
1,2021-04-22 17:22:33.659073,2021-04-22 17:22:33.659089
1,2021-04-22 17:22:33.659089,2021-04-22 17:22:33.659105
1,2021-04-22 17:22:33.659105,2021-04-22 17:22:33.659121
1,2021-04-22 17:22:33.659121,2021-04-22 17:22:33.659137
1,2021-04-22 17:22:33.659137,2021-04-22 17:22:33.659153
1,2021-04-22 17:22:33.659153,2021-04-22 17:22:33.659169
1,2021-04-22 17:22:33.659169,2021-04-22 17:22:33.659184
1,2021-04-22 17:22:33.659184,2021-04-22 17:22:33.6592
1,2021-04-22 17:22:33.6592,2021-04-22 17:22:33.659216
1,2021-04-22 17:22:33.659216,2021-04-22 17:22:33.659232
1,2021-04-22 17:22:33.659232,2021-04-22 17:22:33.659249
1,2021-04-22 17:22:33.659249,2021-04-22 17:22:33.659264
1,2021-04-22 17:22:33.659264,2021-04-22 17:22:33.65928
1,2021-04-22 17:22:33.65928,2021-04-22 17:22:33.659296
1,2021-04-22 17:22:33.659296,2021-04-22 17:22:33.659312
1,2021-04-22 17:22:33.659312,2021-04-22 17:22:33.659327
1,2021-04-22 17:22:33.659327,2021-04-22 17:22:33.659343
1,2021-04-22 17:22:33.659343,2021-04-22 17:22:33.659359
1,2021-04-22 17:22:33.659359,2021-04-22 17:22:33.659375
1,2021-04-22 17:22:33.659375,2021-04-22 17:22:33.65939
