start_times,end_time,time_diff
1619547551.271007,1619547551.985059,0.7140519618988037
1619547551.227517,1619547551.986021,0.7585041522979736
1619547551.249071,1619547551.986618,0.7375471591949463
1619547551.249081,1619547551.989952,0.7408711910247803
1619547551.238445,1619547551.990414,0.7519688606262207
1619547551.281898,1619547551.991962,0.7100639343261719
1619547551.238456,1619547551.994237,0.7557809352874756
1619547551.293248,1619547551.994917,0.7016689777374268
1619547551.281909,1619547551.99577,0.7138609886169434
1619547551.238466,1619547551.997994,0.7595279216766357
1619547551.199429,1619547551.983043,0.783613920211792
1619547551.260222,1619547551.9999,0.739678144454956
1619547551.293258,1619547552.002441,0.7091829776763916
1619547551.200069,1619547552.004688,0.8046190738677979
1619547551.20018,1619547552.007308,0.8071279525756836
1619547551.227527,1619547552.008291,0.780764102935791
1619547551.200265,1619547552.01082,0.8105549812316895
1619547551.271018,1619547552.010976,0.7399580478668213
1619547551.227538,1619547552.011519,0.7839808464050293
1619547551.303635,1619547552.012728,0.7090930938720703
1619547551.216178,1619547551.98837,0.7721920013427734
1619547551.271029,1619547552.014052,0.7430229187011719
1619547551.227549,1619547552.014334,0.7867848873138428
1619547551.27104,1619547552.018595,0.7475550174713135
1619547551.303645,1619547552.01873,0.7150850296020508
1619547551.216192,1619547552.019078,0.8028860092163086
1619547551.281919,1619547552.021071,0.7391519546508789
1619547551.260233,1619547552.004359,0.7441260814666748
1619547551.216205,1619547552.021896,0.8056910037994385
1619547551.249092,1619547552.021842,0.7727499008178711
1619547551.260243,1619547552.025049,0.7648060321807861
1619547551.293268,1619547552.025047,0.7317790985107422
1619547551.260254,1619547552.028359,0.7681050300598145
1619547551.293279,1619547552.028816,0.735537052154541
1619547551.249102,1619547552.030257,0.7811548709869385
1619547551.260265,1619547552.031402,0.771136999130249
1619547551.293289,1619547552.032606,0.7393169403076172
1619547551.249112,1619547552.033455,0.7843430042266846
1619547551.216474,1619547552.034116,0.8176419734954834
1619547551.28193,1619547552.03592,0.7539899349212646
1619547551.216532,1619547552.036614,0.8200819492340088
1619547551.2933,1619547552.038358,0.7450580596923828
1619547551.29331,1619547552.042128,0.7488181591033936
1619547551.293321,1619547552.045941,0.7526202201843262
1619547551.293357,1619547552.106589,0.8132321834564209
1619547551.293368,1619547552.110562,0.8171939849853516
1619547551.293379,1619547552.129957,0.8365778923034668
1619547551.293389,1619547552.134604,0.8412148952484131
1619547551.293399,1619547552.13846,0.8450608253479004
1619547551.29341,1619547552.16741,0.873999834060669
1619547551.29342,1619547552.17122,0.8777999877929688
1619547551.293431,1619547552.191136,0.8977048397064209
1619547551.293441,1619547552.195089,0.9016480445861816
1619547551.293452,1619547552.199101,0.905648946762085
1619547551.293462,1619547552.208228,0.9147660732269287
1619547551.293473,1619547552.212238,0.9187650680541992
1619547551.293484,1619547552.236096,0.9426119327545166
1619547551.293494,1619547552.240123,0.9466290473937988
1619547551.293504,1619547552.24413,0.9506258964538574
1619547551.293514,1619547552.258641,0.9651269912719727
1619547551.293525,1619547552.262653,0.9691281318664551
1619547551.293536,1619547552.286742,0.9932060241699219
1619547551.293546,1619547552.290765,0.9972190856933594
1619547551.293556,1619547552.294775,1.0012190341949463
1619547551.293566,1619547552.312708,1.0191419124603271
1619547551.293577,1619547552.31703,1.0234529972076416
1619547551.293587,1619547552.335768,1.0421810150146484
1619547551.293598,1619547552.339793,1.0461950302124023
1619547551.293608,1619547552.343813,1.0502049922943115
1619547551.293619,1619547552.358949,1.0653300285339355
1619547551.29363,1619547552.363646,1.0700161457061768
1619547551.29364,1619547552.390703,1.0970630645751953
1619547551.293651,1619547552.394744,1.10109281539917
1619547551.293661,1619547552.39877,1.1051089763641357
1619547551.293672,1619547552.414697,1.1210248470306396
1619547551.293682,1619547552.418733,1.1250507831573486
1619547551.293693,1619547552.4415,1.1478068828582764
1619547551.293703,1619547552.44566,1.1519570350646973
1619547551.293714,1619547552.449843,1.1561288833618164
1619547551.293724,1619547552.469303,1.1755788326263428
1619547551.293735,1619547552.473357,1.179621934890747
1619547551.293745,1619547552.49303,1.1992850303649902
1619547551.293755,1619547552.498015,1.2042598724365234
1619547551.293765,1619547552.502738,1.2089729309082031
1619547551.293776,1619547552.519831,1.2260549068450928
1619547551.293786,1619547552.524253,1.2304668426513672
1619547551.293797,1619547552.540383,1.2465860843658447
1619547551.293807,1619547552.544437,1.2506299018859863
1619547551.293817,1619547552.548611,1.2547938823699951
1619547551.293828,1619547552.552694,1.2588660717010498
1619547551.293838,1619547552.556747,1.262908935546875
1619547551.293849,1619547552.577488,1.2836389541625977
1619547551.29386,1619547552.581505,1.2876451015472412
1619547551.29387,1619547552.595619,1.3017489910125732
1619547551.293881,1619547552.6014,1.3075189590454102
1619547551.293895,1619547552.605466,1.3115708827972412
1619547551.293906,1619547552.624804,1.3308980464935303
1619547551.293916,1619547552.62876,1.3348441123962402
1619547551.293927,1619547552.657487,1.3635599613189697
1619547551.293937,1619547552.661567,1.3676300048828125
1619547551.293948,1619547552.66564,1.371692180633545
1619547551.293958,1619547552.680121,1.3861629962921143
1619547551.293969,1619547552.703983,1.4100141525268555
1619547551.293979,1619547552.708076,1.4140970706939697
1619547551.29399,1619547552.722179,1.4281890392303467
1619547551.294,1619547552.72628,1.4322800636291504
1619547551.29401,1619547552.730364,1.436354160308838
1619547551.294021,1619547552.744473,1.4504520893096924
1619547551.294031,1619547552.748549,1.4545180797576904
1619547551.294042,1619547552.765171,1.4711289405822754
1619547551.294052,1619547552.77018,1.476128101348877
1619547551.294062,1619547552.774272,1.4802100658416748
