writer_id,start_times,end_time,time_diff,
1,19.681964,19.688557,0.006593,
1,19.681964,19.690105,0.008141,
1,19.681964,19.690156,0.008192,
1,19.681964,19.690196,0.008232,
1,19.681964,19.690233,0.008269,
1,19.681964,19.690271,0.008307,
1,19.681964,19.690287,0.008323,
1,19.681964,19.690314,0.00835,
1,19.681964,19.690327,0.008363,
1,19.681964,19.69034,0.008376,
1,19.681964,19.690352,0.008388,
1,19.681964,19.690366,0.008402,
1,19.681964,19.690379,0.008415,
1,19.681964,19.690392,0.008428,
1,19.681964,19.690405,0.008441,
1,19.681964,19.690418,0.008454,
1,19.681964,19.690431,0.008467,
1,19.681964,19.690534,0.00857,
1,19.681964,19.690579,0.008615,
1,19.681964,19.690604,0.00864,
1,19.681964,19.690634,0.00867,
1,19.681964,19.690647,0.008683,
1,19.681964,19.690673,0.008709,
1,19.681964,19.690686,0.008722,
1,19.681964,19.690713,0.008749,
1,19.681964,19.690726,0.008762,
1,19.681964,19.690738,0.008774,
1,19.681964,19.690752,0.008788,
1,19.681964,19.690765,0.008801,
1,19.681964,19.690778,0.008814,
1,19.681964,19.690809,0.008845,
1,19.681964,19.690822,0.008858,
1,19.681964,19.690835,0.008871,
1,19.681964,19.690853,0.008889,
1,19.681964,19.690869,0.008905,
1,19.681964,19.691172,0.009208,
1,19.681964,19.691188,0.009224,
1,19.681964,19.691202,0.009238,
1,19.681964,19.691263,0.009299,
1,19.681964,19.691277,0.009313,
1,19.681964,19.691303,0.009339,
1,19.681964,19.691317,0.009353,
1,19.681964,19.691343,0.009379,
1,19.681964,19.691356,0.009392,
1,19.681964,19.691393,0.009429,
1,19.681964,19.691423,0.009459,
1,19.681964,19.691436,0.009472,
1,19.681964,19.691463,0.009499,
1,19.681964,19.691476,0.009512,
1,19.681964,19.691489,0.009525,
1,19.681964,19.691504,0.00954,
1,19.681964,19.691521,0.009557,
1,19.681964,19.691536,0.009572,
1,19.681964,19.691551,0.009587,
1,19.681964,19.691572,0.009608,
1,19.681964,19.691589,0.009625,
1,19.681964,19.691603,0.009639,
1,19.681964,19.691616,0.009652,
1,19.681964,19.691647,0.009683,
1,19.681964,19.691666,0.009702,
1,19.681964,19.691679,0.009715,
1,19.681964,19.691692,0.009728,
1,19.681964,19.691706,0.009742,
1,19.681964,19.691719,0.009755,
1,19.681964,19.691734,0.00977,
1,19.681964,19.691751,0.009787,
1,19.681964,19.691764,0.0098,
1,19.681964,19.691778,0.009814,
1,19.681964,19.691853,0.009889,
1,19.681964,19.691867,0.009903,
1,19.681964,19.691893,0.009929,
1,19.681964,19.691906,0.009942,
1,19.681964,19.691919,0.009955,
1,19.681964,19.691932,0.009968,
1,19.681964,19.691964,0.01,
1,19.681964,19.691977,0.010013,
1,19.681964,19.692003,0.010039,
1,19.681964,19.692015,0.010051,
1,19.681964,19.692028,0.010064,
1,19.681964,19.692041,0.010077,
1,19.681964,19.692054,0.01009,
1,19.681964,19.692067,0.010103,
1,19.681964,19.692081,0.010117,
1,19.681964,19.692094,0.01013,
1,19.681964,19.692107,0.010143,
1,19.681964,19.692133,0.010169,
1,19.681964,19.692147,0.010183,
1,19.681964,19.692173,0.010209,
1,19.681964,19.692189,0.010225,
1,19.681964,19.692202,0.010238,
1,19.681964,19.692214,0.01025,
1,19.681964,19.692227,0.010263,
1,19.681964,19.692241,0.010277,
1,19.681964,19.692254,0.01029,
1,19.681964,19.692266,0.010302,
1,19.681964,19.692279,0.010315,
1,19.681964,19.692292,0.010328,
1,19.681964,19.692304,0.01034,
1,19.681964,19.692317,0.010353,
1,19.681964,19.692343,0.010379,
1,19.681964,19.692355,0.010391,
1,19.681964,19.692368,0.010404,
1,19.681964,19.692413,0.010449,
1,19.681964,19.692428,0.010464,
1,19.681964,19.692441,0.010477,
1,19.681964,19.692458,0.010494,
1,19.681964,19.692472,0.010508,
1,19.681964,19.692485,0.010521,
1,19.681964,19.692498,0.010534,
1,19.681964,19.692511,0.010547,
1,19.681964,19.692524,0.01056,
1,19.681964,19.692537,0.010573,
1,19.681964,19.692551,0.010587,
1,19.681964,19.692564,0.0106,
1,19.681964,19.692577,0.010613,
1,19.681964,19.692603,0.010639,
1,19.681964,19.692616,0.010652,
1,19.681964,19.692629,0.010665,
1,19.681964,19.692642,0.010678,
1,19.681964,19.692655,0.010691,
1,19.681964,19.692669,0.010705,
1,19.681964,19.692689,0.010725,
1,19.681964,19.692704,0.01074,
1,19.681964,19.692721,0.010757,
1,19.681964,19.692742,0.010778,
1,19.681964,19.692761,0.010797,
1,19.681964,19.692783,0.010819,
1,19.681964,19.692801,0.010837,
1,19.681964,19.692819,0.010855,
1,19.681964,19.692859,0.010895,
1,19.681964,19.692877,0.010913,
1,19.681964,19.692896,0.010932,
1,19.681964,19.692917,0.010953,
1,19.681964,19.692937,0.010973,
1,19.681964,19.692955,0.010991,
1,19.681964,19.692973,0.011009,
1,19.681964,19.692993,0.011029,
1,19.681964,19.693015,0.011051,
1,19.681964,19.693065,0.011101,
1,19.681964,19.693246,0.011282,
1,19.681964,19.693292,0.011328,
1,19.681964,19.693339,0.011375,
1,19.681964,19.693365,0.011401,
1,19.681964,19.693384,0.01142,
1,19.681964,19.693399,0.011435,
1,19.681964,19.693412,0.011448,
1,19.681964,19.693425,0.011461,
1,19.681964,19.693438,0.011474,
1,19.681964,19.693451,0.011487,
1,19.681964,19.693464,0.0115,
1,19.681964,19.693477,0.011513,
1,19.681964,19.693489,0.011525,
1,19.681964,19.693502,0.011538,
1,19.681964,19.693515,0.011551,
1,19.681964,19.693535,0.011571,
1,19.681964,19.693548,0.011584,
1,19.681964,19.693562,0.011598,
1,19.681964,19.693581,0.011617,
1,19.681964,19.693617,0.011653,
1,19.681964,19.693636,0.011672,
1,19.681964,19.693654,0.01169,
1,19.681964,19.693668,0.011704,
1,19.681964,19.693681,0.011717,
1,19.681964,19.693695,0.011731,
1,19.681964,19.693708,0.011744,
1,19.681964,19.693721,0.011757,
1,19.681964,19.693734,0.01177,
1,19.681964,19.693747,0.011783,
1,19.681964,19.693773,0.011809,
1,19.681964,19.693786,0.011822,
1,19.681964,19.693805,0.011841,
1,19.681964,19.693822,0.011858,
1,19.681964,19.693842,0.011878,
1,19.681964,19.693862,0.011898,
1,19.681964,19.693882,0.011918,
1,19.681964,19.693937,0.011973,
1,19.681964,19.693961,0.011997,
1,19.681964,19.694088,0.012124,
1,19.681964,19.694114,0.01215,
1,19.681964,19.694154,0.01219,
1,19.681964,19.694179,0.012215,
1,19.681964,19.694214,0.01225,
1,19.681964,19.694235,0.012271,
1,19.681964,19.694248,0.012284,
1,19.681964,19.694275,0.012311,
1,19.681964,19.694314,0.01235,
1,19.681964,19.694341,0.012377,
1,19.681964,19.694405,0.012441,
1,19.681964,19.694441,0.012477,
1,19.681964,19.694461,0.012497,
1,19.681964,19.694494,0.01253,
1,19.681964,19.694508,0.012544,
1,19.681964,19.694522,0.012558,
1,19.681964,19.694534,0.01257,
1,19.681964,19.694548,0.012584,
1,19.681964,19.694561,0.012597,
1,19.681964,19.694574,0.01261,
1,19.681964,19.694587,0.012623,
1,19.681964,19.694605,0.012641,
1,19.681964,19.694633,0.012669,
1,19.681964,19.694646,0.012682,
1,19.681964,19.694659,0.012695,
1,19.681964,19.694672,0.012708,
1,19.681964,19.694685,0.012721,
1,19.681964,19.694704,0.01274,
1,19.681964,19.694718,0.012754,
1,19.681964,19.694731,0.012767,
1,19.681964,19.694744,0.01278,
1,19.681964,19.694757,0.012793,
1,19.681964,19.694771,0.012807,
1,19.681964,19.694784,0.01282,
1,19.681964,19.694797,0.012833,
1,19.681964,19.694811,0.012847,
1,19.681964,19.694823,0.012859,
1,19.681964,19.694836,0.012872,
1,19.681964,19.694911,0.012947,
1,19.681964,19.694925,0.012961,
1,19.681964,19.694937,0.012973,
1,19.681964,19.694963,0.012999,
1,19.681964,19.694977,0.013013,
1,19.681964,19.694994,0.01303,
1,19.681964,19.695008,0.013044,
1,19.681964,19.695021,0.013057,
1,19.681964,19.695034,0.01307,
1,19.681964,19.695047,0.013083,
1,19.681964,19.695072,0.013108,
1,19.681964,19.695086,0.013122,
1,19.681964,19.695099,0.013135,
1,19.681964,19.695115,0.013151,
1,19.681964,19.695141,0.013177,
1,19.681964,19.695153,0.013189,
1,19.681964,19.695165,0.013201,
1,19.681964,19.695177,0.013213,
1,19.681964,19.695189,0.013225,
1,19.681964,19.695201,0.013237,
1,19.681964,19.695212,0.013248,
1,19.681964,19.695227,0.013263,
1,19.681964,19.695239,0.013275,
1,19.681964,19.695252,0.013288,
1,19.681964,19.695264,0.0133,
1,19.681964,19.695275,0.013311,
1,19.681964,19.695287,0.013323,
1,19.681964,19.695299,0.013335,
1,19.681964,19.695312,0.013348,
1,19.681964,19.695324,0.01336,
1,19.681964,19.695336,0.013372,
1,19.681964,19.695348,0.013384,
1,19.681964,19.695359,0.013395,
