id,data,writer_id,node_number,start_time,end_time,cum_diff,time_diff
112,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
113,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
114,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
115,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
116,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
117,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
118,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
119,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
120,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
121,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
122,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
123,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
124,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
125,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
126,1,1,1,38:59.4,38:59.4,00:00.0,1.20E-05
127,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
128,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
129,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
130,1,1,1,38:59.4,38:59.4,00:00.0,1.20E-05
131,1,1,1,38:59.4,38:59.4,00:00.0,1.90E-05
132,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
133,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
134,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
135,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
136,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
137,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
138,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
139,1,1,1,38:59.4,38:59.4,00:00.0,1.20E-05
140,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
141,1,1,1,38:59.4,38:59.4,00:00.0,1.20E-05
142,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
143,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
144,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
145,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
146,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
147,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
148,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
149,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
150,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
151,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
152,1,1,1,38:59.4,38:59.4,00:00.0,1.20E-05
153,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
154,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
155,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
156,1,1,1,38:59.4,38:59.4,00:00.0,1.20E-05
157,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
158,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
159,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
160,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
161,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
162,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
163,1,1,1,38:59.4,38:59.4,00:00.0,1.20E-05
164,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
165,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
166,1,1,1,38:59.4,38:59.4,00:00.0,1.20E-05
167,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
168,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
169,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
170,1,1,1,38:59.4,38:59.4,00:00.0,1.60E-05
171,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
172,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
173,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
174,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
175,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
176,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
177,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
178,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
179,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
180,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
181,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
182,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
183,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
184,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
185,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
186,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
187,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
188,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
189,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
190,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
191,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
192,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
193,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
194,1,1,1,38:59.4,38:59.4,00:00.0,1.20E-05
195,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
196,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
197,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
198,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
199,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
200,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
201,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
202,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
203,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
204,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
205,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
