6001,1,7,2021-04-24 14:19:11.271007,2021-04-24 14:19:11.985059
2001,1,3,2021-04-24 14:19:11.227517,2021-04-24 14:19:11.986021
4001,1,5,2021-04-24 14:19:11.249071,2021-04-24 14:19:11.986618
4002,1,5,2021-04-24 14:19:11.249081,2021-04-24 14:19:11.989952
3001,1,4,2021-04-24 14:19:11.238445,2021-04-24 14:19:11.990414
7001,1,8,2021-04-24 14:19:11.281898,2021-04-24 14:19:11.991962
3002,1,4,2021-04-24 14:19:11.238456,2021-04-24 14:19:11.994237
8001,1,9,2021-04-24 14:19:11.293248,2021-04-24 14:19:11.994917
7002,1,8,2021-04-24 14:19:11.281909,2021-04-24 14:19:11.99577
3003,1,4,2021-04-24 14:19:11.238466,2021-04-24 14:19:11.997994
1,1,1,2021-04-24 14:19:11.199429,2021-04-24 14:19:11.983043
5001,1,6,2021-04-24 14:19:11.260222,2021-04-24 14:19:11.9999
8002,1,9,2021-04-24 14:19:11.293258,2021-04-24 14:19:12.002441
2,1,1,2021-04-24 14:19:11.200069,2021-04-24 14:19:12.004688
3,1,1,2021-04-24 14:19:11.20018,2021-04-24 14:19:12.007308
2002,1,3,2021-04-24 14:19:11.227527,2021-04-24 14:19:12.008291
4,1,1,2021-04-24 14:19:11.200265,2021-04-24 14:19:12.01082
6002,1,7,2021-04-24 14:19:11.271018,2021-04-24 14:19:12.010976
2003,1,3,2021-04-24 14:19:11.227538,2021-04-24 14:19:12.011519
9001,1,10,2021-04-24 14:19:11.303635,2021-04-24 14:19:12.012728
1001,1,2,2021-04-24 14:19:11.216178,2021-04-24 14:19:11.98837
6003,1,7,2021-04-24 14:19:11.271029,2021-04-24 14:19:12.014052
2004,1,3,2021-04-24 14:19:11.227549,2021-04-24 14:19:12.014334
6004,1,7,2021-04-24 14:19:11.27104,2021-04-24 14:19:12.018595
9002,1,10,2021-04-24 14:19:11.303645,2021-04-24 14:19:12.01873
1002,1,2,2021-04-24 14:19:11.216192,2021-04-24 14:19:12.019078
7003,1,8,2021-04-24 14:19:11.281919,2021-04-24 14:19:12.021071
5002,1,6,2021-04-24 14:19:11.260233,2021-04-24 14:19:12.004359
1003,1,2,2021-04-24 14:19:11.216205,2021-04-24 14:19:12.021896
4003,1,5,2021-04-24 14:19:11.249092,2021-04-24 14:19:12.021842
5003,1,6,2021-04-24 14:19:11.260243,2021-04-24 14:19:12.025049
8003,1,9,2021-04-24 14:19:11.293268,2021-04-24 14:19:12.025047
5004,1,6,2021-04-24 14:19:11.260254,2021-04-24 14:19:12.028359
8004,1,9,2021-04-24 14:19:11.293279,2021-04-24 14:19:12.028816
4004,1,5,2021-04-24 14:19:11.249102,2021-04-24 14:19:12.030257
5005,1,6,2021-04-24 14:19:11.260265,2021-04-24 14:19:12.031402
8005,1,9,2021-04-24 14:19:11.293289,2021-04-24 14:19:12.032606
4005,1,5,2021-04-24 14:19:11.249112,2021-04-24 14:19:12.033455
1004,1,2,2021-04-24 14:19:11.216474,2021-04-24 14:19:12.034116
7004,1,8,2021-04-24 14:19:11.28193,2021-04-24 14:19:12.03592
1005,1,2,2021-04-24 14:19:11.216532,2021-04-24 14:19:12.036614
8006,1,9,2021-04-24 14:19:11.2933,2021-04-24 14:19:12.038358
8007,1,9,2021-04-24 14:19:11.29331,2021-04-24 14:19:12.042128
8008,1,9,2021-04-24 14:19:11.293321,2021-04-24 14:19:12.045941
8009,1,9,2021-04-24 14:19:11.293357,2021-04-24 14:19:12.106589
8010,1,9,2021-04-24 14:19:11.293368,2021-04-24 14:19:12.110562
8011,1,9,2021-04-24 14:19:11.293379,2021-04-24 14:19:12.129957
8012,1,9,2021-04-24 14:19:11.293389,2021-04-24 14:19:12.134604
8013,1,9,2021-04-24 14:19:11.293399,2021-04-24 14:19:12.13846
