start_times,end_time,time_diff
1619546762.694688,1619546766.101065,3.406376838684082
1619546762.694744,1619546766.102966,3.408221960067749
1619546762.694764,1619546766.104854,3.410090208053589
1619546762.694781,1619546766.106717,3.411936044692993
1619546762.694799,1619546766.10858,3.41378116607666
1619546762.694816,1619546766.110445,3.4156289100646973
1619546762.694833,1619546766.112306,3.417473077774048
1619546762.694849,1619546766.114168,3.419318914413452
1619546762.694865,1619546766.116027,3.4211621284484863
1619546762.694881,1619546766.117886,3.4230051040649414
1619546762.694896,1619546766.119748,3.424852132797241
1619546762.694911,1619546766.121609,3.4266979694366455
1619546762.694925,1619546766.123468,3.4285428524017334
1619546762.69494,1619546766.12533,3.430389881134033
1619546762.694955,1619546766.127194,3.432238817214966
1619546762.69497,1619546766.129057,3.434087038040161
1619546762.694984,1619546766.13092,3.4359359741210938
1619546762.694999,1619546766.132816,3.437817096710205
1619546762.695014,1619546766.134683,3.439668893814087
1619546762.695035,1619546766.136532,3.4414970874786377
1619546762.69505,1619546766.138381,3.443331003189087
1619546762.695065,1619546766.140229,3.4451639652252197
1619546762.69508,1619546766.142075,3.4469950199127197
1619546762.695095,1619546766.143928,3.4488329887390137
1619546762.69511,1619546766.145775,3.45066499710083
1619546762.695125,1619546766.147624,3.4524989128112793
1619546762.69514,1619546766.149472,3.454332113265991
1619546762.695155,1619546766.151319,3.4561641216278076
1619546762.69517,1619546766.153169,3.4579989910125732
1619546762.695184,1619546766.155016,3.459831953048706
1619546762.695199,1619546766.156865,3.4616658687591553
1619546762.695214,1619546766.158715,3.4635009765625
1619546762.695229,1619546766.160563,3.465333938598633
1619546762.695244,1619546766.162411,3.4671669006347656
1619546762.695292,1619546766.164262,3.4689700603485107
1619546762.695308,1619546766.16611,3.470802068710327
1619546762.695326,1619546766.167957,3.4726309776306152
1619546762.695341,1619546766.169804,3.4744629859924316
1619546762.695362,1619546766.171652,3.476289987564087
1619546762.695378,1619546766.173501,3.4781229496002197
1619546762.695393,1619546766.175352,3.479959011077881
1619546762.695408,1619546766.177201,3.48179292678833
1619546762.695422,1619546766.17905,3.483628034591675
1619546762.695437,1619546766.1809,3.4854631423950195
1619546762.695452,1619546766.18275,3.487298011779785
1619546762.695467,1619546766.184599,3.4891319274902344
1619546762.695482,1619546766.186449,3.490967035293579
1619546762.695497,1619546766.188299,3.4928019046783447
1619546762.695512,1619546766.190147,3.4946348667144775
