Label Identifying Reader Id,Writer Message timestamp,Read Start Timestamp,Read Finish Timestamp
reader2,06:30:27.397408,06:30:27.397650,06:30:27.398115
reader2,06:30:27.400158,06:30:27.400360,06:30:27.400770
reader2,06:30:27.400902,06:30:27.401225,06:30:27.401638
reader2,06:30:27.401718,06:30:27.402094,06:30:27.402471
reader2,06:30:27.402709,06:30:27.402929,06:30:27.403353
reader2,06:30:27.403411,06:30:27.403790,06:30:27.404209
reader2,06:30:27.404169,06:30:27.404649,06:30:27.405048
reader2,06:30:27.405166,06:30:27.405473,06:30:27.405854
reader2,06:30:27.406015,06:30:27.406287,06:30:27.406684
reader2,06:30:27.406849,06:30:27.407135,06:30:27.407553
reader2,06:30:27.407674,06:30:27.408122,06:30:27.408508
reader2,06:30:27.408628,06:30:27.408938,06:30:27.409345
reader2,06:30:27.409546,06:30:27.409809,06:30:27.410228
reader2,06:30:27.410039,06:30:27.410693,06:30:27.411066
reader2,06:30:27.411370,06:30:27.411589,06:30:27.411987
reader2,06:30:27.411892,06:30:27.412455,06:30:27.412840
reader2,06:30:27.413194,06:30:27.413431,06:30:27.413893
reader2,06:30:27.414136,06:30:27.414408,06:30:27.414801
reader2,06:30:27.415016,06:30:27.415236,06:30:27.415669
reader2,06:30:27.415796,06:30:27.416119,06:30:27.416516
reader2,06:30:27.416777,06:30:27.416964,06:30:27.417384
reader2,06:30:27.417410,06:30:27.417819,06:30:27.418226
reader2,06:30:27.418369,06:30:27.418667,06:30:27.419072
reader2,06:30:27.419354,06:30:27.419575,06:30:27.419976
reader2,06:30:27.420149,06:30:27.420411,06:30:27.420793
reader2,06:30:27.421032,06:30:27.421234,06:30:27.421637
reader2,06:30:27.421910,06:30:27.422111,06:30:27.422508
reader2,06:30:27.422772,06:30:27.422949,06:30:27.423386
reader2,06:30:27.423569,06:30:27.423814,06:30:27.424197
reader2,06:30:27.424371,06:30:27.424666,06:30:27.425070
reader2,06:30:27.425295,06:30:27.425565,06:30:27.425963
reader2,06:30:27.426160,06:30:27.426455,06:30:27.426921
reader2,06:30:27.427115,06:30:27.427396,06:30:27.427821
reader2,06:30:27.427934,06:30:27.428266,06:30:27.428660
reader2,06:30:27.428870,06:30:27.429091,06:30:27.429492
reader2,06:30:27.429689,06:30:27.429951,06:30:27.430410
reader2,06:30:27.430569,06:30:27.430860,06:30:27.431254
reader2,06:30:27.431260,06:30:27.431687,06:30:27.432088
reader2,06:30:27.432164,06:30:27.432542,06:30:27.432938
reader2,06:30:27.433212,06:30:27.433401,06:30:27.433837
reader2,06:30:27.433955,06:30:27.434278,06:30:27.434686
reader2,06:30:27.434856,06:30:27.435128,06:30:27.435532
reader2,06:30:27.435734,06:30:27.435992,06:30:27.436428
reader2,06:30:27.436629,06:30:27.436879,06:30:27.437271
reader2,06:30:27.437367,06:30:27.437701,06:30:27.438114
reader2,06:30:27.438283,06:30:27.438574,06:30:27.438976
reader2,06:30:27.439169,06:30:27.439436,06:30:27.439804
reader2,06:30:27.440009,06:30:27.440236,06:30:27.440640
reader2,06:30:27.440786,06:30:27.441067,06:30:27.441446
reader2,06:30:27.441676,06:30:27.441852,06:30:27.442273
reader2,06:30:27.442461,06:30:27.442695,06:30:27.443082
reader2,06:30:27.443192,06:30:27.443500,06:30:27.443881
reader2,06:30:27.444049,06:30:27.444297,06:30:27.444684
reader2,06:30:27.444888,06:30:27.445103,06:30:27.445479
reader2,06:30:27.445364,06:30:27.445887,06:30:27.446500
reader2,06:30:27.446747,06:30:27.446927,06:30:27.447334
reader2,06:30:27.447461,06:30:27.447737,06:30:27.448100
reader2,06:30:27.448358,06:30:27.448539,06:30:27.448935
reader2,06:30:27.449073,06:30:27.449361,06:30:27.449739
reader2,06:30:27.449989,06:30:27.450198,06:30:27.450586
reader2,06:30:27.450828,06:30:27.451035,06:30:27.451430
reader2,06:30:27.451548,06:30:27.451851,06:30:27.452294
reader2,06:30:27.452430,06:30:27.452711,06:30:27.453135
reader2,06:30:27.454504,06:30:27.454779,06:30:27.455248
reader2,06:30:27.455445,06:30:27.455686,06:30:27.456186
reader2,06:30:27.456324,06:30:27.456626,06:30:27.457019
reader2,06:30:27.457312,06:30:27.457549,06:30:27.458036
reader2,06:30:27.458283,06:30:27.458560,06:30:27.458983
reader2,06:30:27.459399,06:30:27.459472,06:30:27.460062
reader2,06:30:27.460247,06:30:27.460508,06:30:27.460925
reader2,06:30:27.461194,06:30:27.461418,06:30:27.461847
reader2,06:30:27.462179,06:30:27.462323,06:30:27.462791
