Label Identifying Reader Id,Writer Message timestamp,Read Start Timestamp,Read Finish Timestamp
reader1,06:30:25.265709,06:30:25.265912,06:30:25.266356
reader1,06:30:25.268393,06:30:25.268610,06:30:25.269029
reader1,06:30:25.269158,06:30:25.269475,06:30:25.269872
reader1,06:30:25.269967,06:30:25.270328,06:30:25.270730
reader1,06:30:25.270749,06:30:25.271164,06:30:25.271569
reader1,06:30:25.271678,06:30:25.272016,06:30:25.272414
reader1,06:30:25.272493,06:30:25.272859,06:30:25.273286
reader1,06:30:25.273428,06:30:25.273754,06:30:25.274162
reader1,06:30:25.274314,06:30:25.274658,06:30:25.275059
reader1,06:30:25.275137,06:30:25.275512,06:30:25.275924
reader1,06:30:25.276133,06:30:25.276391,06:30:25.276841
reader1,06:30:25.277032,06:30:25.277379,06:30:25.277811
reader1,06:30:25.278018,06:30:25.278318,06:30:25.278717
reader1,06:30:25.278861,06:30:25.279156,06:30:25.279571
reader1,06:30:25.279813,06:30:25.280037,06:30:25.280465
reader1,06:30:25.280626,06:30:25.280979,06:30:25.281454
reader1,06:30:25.281614,06:30:25.281946,06:30:25.282381
reader1,06:30:25.282662,06:30:25.282832,06:30:25.283279
reader1,06:30:25.283470,06:30:25.283802,06:30:25.284244
reader1,06:30:25.284396,06:30:25.284723,06:30:25.285134
reader1,06:30:25.285432,06:30:25.285668,06:30:25.286092
reader1,06:30:25.286427,06:30:25.286657,06:30:25.287079
reader1,06:30:25.287250,06:30:25.287563,06:30:25.288027
reader1,06:30:25.288297,06:30:25.288509,06:30:25.288970
reader1,06:30:25.289232,06:30:25.289473,06:30:25.289941
reader1,06:30:25.290300,06:30:25.290474,06:30:25.290934
reader1,06:30:25.291246,06:30:25.291411,06:30:25.291869
reader1,06:30:25.291995,06:30:25.292338,06:30:25.292803
reader1,06:30:25.293132,06:30:25.293323,06:30:25.293762
reader1,06:30:25.293918,06:30:25.294292,06:30:25.294739
reader1,06:30:25.294830,06:30:25.295199,06:30:25.295612
reader1,06:30:25.295906,06:30:25.296159,06:30:25.296575
reader1,06:30:25.296824,06:30:25.297066,06:30:25.297537
reader1,06:30:25.298058,06:30:25.298224,06:30:25.298741
reader1,06:30:25.298974,06:30:25.299226,06:30:25.299655
reader1,06:30:25.299934,06:30:25.300159,06:30:25.300601
reader1,06:30:25.300727,06:30:25.301100,06:30:25.301525
reader1,06:30:25.301748,06:30:25.302057,06:30:25.302500
reader1,06:30:25.302698,06:30:25.303059,06:30:25.303481
reader1,06:30:25.303665,06:30:25.303970,06:30:25.304402
reader1,06:30:25.304726,06:30:25.304869,06:30:25.305348
reader1,06:30:25.305496,06:30:25.305817,06:30:25.306227
reader1,06:30:25.306323,06:30:25.306726,06:30:25.307148
reader1,06:30:25.307397,06:30:25.307612,06:30:25.308044
reader1,06:30:25.308222,06:30:25.308517,06:30:25.308940
reader1,06:30:25.309222,06:30:25.309419,06:30:25.309823
reader1,06:30:25.310104,06:30:25.310317,06:30:25.310790
reader1,06:30:25.310949,06:30:25.311266,06:30:25.311688
reader1,06:30:25.311964,06:30:25.312200,06:30:25.312635
reader1,06:30:25.312766,06:30:25.313113,06:30:25.313538
reader1,06:30:25.313818,06:30:25.314030,06:30:25.314455
reader1,06:30:25.314658,06:30:25.314944,06:30:25.315386
reader1,06:30:25.315548,06:30:25.315836,06:30:25.316258
reader1,06:30:25.316524,06:30:25.316710,06:30:25.317142
reader1,06:30:25.317386,06:30:25.317613,06:30:25.318040
reader1,06:30:25.318148,06:30:25.318487,06:30:25.318918
reader1,06:30:25.319042,06:30:25.319356,06:30:25.319758
reader1,06:30:25.319909,06:30:25.320205,06:30:25.320658
reader1,06:30:25.320960,06:30:25.321138,06:30:25.321599
reader1,06:30:25.321833,06:30:25.322078,06:30:25.322444
reader1,06:30:25.322716,06:30:25.322921,06:30:25.323348
reader1,06:30:25.323513,06:30:25.323802,06:30:25.324295
reader1,06:30:25.324516,06:30:25.324759,06:30:25.325229
reader1,06:30:25.325377,06:30:25.325668,06:30:25.326066
reader1,06:30:25.326246,06:30:25.326529,06:30:25.326997
reader1,06:30:25.327199,06:30:25.327464,06:30:25.327917
reader1,06:30:25.328089,06:30:25.328367,06:30:25.328773
reader1,06:30:25.328915,06:30:25.329218,06:30:25.329618
reader1,06:30:25.329733,06:30:25.330043,06:30:25.330476
